ESS_power,ESS_capacity,fitness_function,Time,std_ESS_power,std_ESS_capacity,std_fitness_function,Charge_cost,Fixed_OnM,Variable_OnM,Combined_cost_charge,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
0.1,0.1,0.23322399137268604,277.8863618373871,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,-48.42,39.46310720000001,35.516796480000004
0.1,0.1,0.23322399137268604,276.32058906555176,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,-48.42,39.46310720000001,35.516796480000004
0.1,0.1,0.23322399137268604,286.7805256843567,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,-48.42,39.46310720000001,35.516796480000004
0.1,0.1,0.23322399137268604,312.51368975639343,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,-48.42,39.46310720000001,35.516796480000004
0.1,0.1,0.23322399137268604,294.669561624527,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,-48.42,39.46310720000001,35.516796480000004
0.1,0.1,0.23322399137268604,269.1887414455414,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,-48.42,39.46310720000001,35.516796480000004
0.1,0.1,0.23322399137268604,271.2776608467102,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,-48.42,39.46310720000001,35.516796480000004
0.1,0.1,0.23322399137268604,286.32047629356384,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,-48.42,39.46310720000001,35.516796480000004
0.1,0.1,0.23322399137268604,277.17003297805786,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,-48.42,39.46310720000001,35.516796480000004
0.1,0.1,0.23322399137268604,325.3921802043915,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,-48.42,39.46310720000001,35.516796480000004
