charge,discharge,capacity,Energy_use,Average_daily_cost,Energy_hourly_cost,Charge_or_discharge
203.28822651310279,0.0,806.080032404443,635.1803207,0.031966,0.03124,Charge+++++
203.28822651310279,0.0,989.0394362662355,694.6018299,0.031966,0.030987000000000004,Charge+++++
203.28822651310279,0.0,1171.998840128028,654.9534385,0.031966,0.030833000000000006,Charge+++++
203.28822651310279,0.0,1354.9582439898204,601.6675168,0.031966,0.030800000000000004,Charge+++++
4.304877995312381,0.0,1359.2631219851328,520.8430075,0.031966,0.030822000000000002,Charge+++++
0.0,0.0,1359.2631219851328,451.2194334,0.031966,0.030954000000000006,Charge+++++
0.0,0.0,1359.2631219851328,388.7931939,0.031966,0.031141000000000002,Charge+++++
0.0,0.0,1359.2631219851328,372.2268004,0.031966,0.030899000000000003,Charge+++++
0.0,0.0,1359.2631219851328,345.5514778,0.031966,0.030503000000000002,Charge+++++
0.0,0.0,1359.2631219851328,362.8496416,0.031966,0.031108000000000004,Charge+++++
0.0,0.0,1359.2631219851328,371.611103,0.031966,0.031196,Charge+++++
0.0,0.0,1359.2631219851328,389.4687203,0.031966,0.031372000000000004,Charge+++++
0.0,0.0,1359.2631219851328,456.59156,0.031966,0.031361,Charge+++++
0.0,0.0,1359.2631219851328,532.4160642,0.031966,0.031614,Charge+++++
0.0,182.9594038617925,1155.97489547203,508.3262571,0.031966,0.032626,Discharge-----
0.0,182.9594038617925,952.6866689589273,428.8484229,0.031966,0.033417999999999996,Discharge-----
0.0,182.9594038617925,749.3984424458245,408.9204218,0.031966,0.03388,Discharge-----
0.0,182.9594038617925,546.1102159327216,381.2270718,0.031966,0.034023000000000005,Discharge-----
0.0,182.9594038617925,342.82198941961883,355.4751779,0.031966,0.033858000000000006,Discharge-----
0.0,63.87242852033306,271.85262439702655,357.7066378,0.031966,0.03356100000000001,Discharge-----
0.0,0.0,271.85262439702655,352.4471705,0.031966,0.033209,Discharge-----
0.0,0.0,271.85262439702655,355.2710825,0.031966,0.032934000000000005,Discharge-----
0.0,0.0,271.85262439702655,399.7040185,0.031966,0.032615000000000005,Discharge-----
0.0,0.0,271.85262439702655,502.3559435,0.031966,0.032296000000000005,Discharge-----
203.28822651310279,0.0,454.81202825881905,634.2627189,0.036806000000000005,0.03234,Charge+++++
203.28822651310279,0.0,637.7714321206115,694.1354113,0.036806000000000005,0.031801,Charge+++++
203.28822651310279,0.0,820.730835982404,679.4077974,0.036806000000000005,0.030921,Charge+++++
203.28822651310279,0.0,1003.6902398441964,627.8545175,0.036806000000000005,0.031064,Charge+++++
203.28822651310279,0.0,1186.6496437059889,535.1909435,0.036806000000000005,0.031933,Charge+++++
172.61347827914392,0.0,1359.2631219851328,451.2150221,0.036806000000000005,0.033473,Charge+++++
0.0,0.0,1359.2631219851328,363.2519226,0.036806000000000005,0.03613500000000001,Charge+++++
0.0,182.9594038617925,1155.97489547203,339.3946162,0.036806000000000005,0.037301,Discharge-----
0.0,182.9594038617925,952.6866689589273,316.0991349,0.036806000000000005,0.038357,Discharge-----
0.0,182.9594038617925,749.3984424458245,307.049272,0.036806000000000005,0.038742000000000006,Discharge-----
0.0,182.9594038617925,546.1102159327216,306.132309,0.036806000000000005,0.038951,Discharge-----
0.0,182.9594038617925,342.82198941961883,321.6310378,0.036806000000000005,0.038577,Discharge-----
0.0,63.87242852033306,271.85262439702655,382.8902061,0.036806000000000005,0.038335,Discharge-----
0.0,0.0,271.85262439702655,457.2472578,0.036806000000000005,0.03817,Discharge-----
0.0,0.0,271.85262439702655,437.2480526,0.036806000000000005,0.03828,Discharge-----
0.0,0.0,271.85262439702655,384.3435822,0.036806000000000005,0.039523,Discharge-----
0.0,0.0,271.85262439702655,372.3755762,0.036806000000000005,0.04127200000000001,Discharge-----
0.0,0.0,271.85262439702655,354.7964917,0.036806000000000005,0.042328000000000005,Discharge-----
0.0,0.0,271.85262439702655,331.7350784,0.036806000000000005,0.04056800000000001,Discharge-----
0.0,0.0,271.85262439702655,319.1035683,0.036806000000000005,0.03907200000000001,Discharge-----
0.0,0.0,271.85262439702655,315.0680472,0.036806000000000005,0.038753,Discharge-----
0.0,0.0,271.85262439702655,328.7878033,0.036806000000000005,0.038214000000000005,Discharge-----
203.28822651310279,0.0,454.81202825881905,389.1411821,0.036806000000000005,0.03515600000000001,Charge+++++
203.28822651310279,0.0,637.7714321206115,532.2009702,0.036806000000000005,0.033979,Charge+++++
203.28822651310279,0.0,820.730835982404,642.7675858,0.03601400000000001,0.033715,Charge+++++
203.28822651310279,0.0,1003.6902398441964,708.5730209,0.03601400000000001,0.033407000000000006,Charge+++++
203.28822651310279,0.0,1186.6496437059889,693.9138754,0.03601400000000001,0.033165,Charge+++++
172.61347827914392,0.0,1359.2631219851328,651.2432522,0.03601400000000001,0.033154,Charge+++++
0.0,0.0,1359.2631219851328,566.2216051,0.03601400000000001,0.033440000000000004,Charge+++++
0.0,0.0,1359.2631219851328,485.8338565,0.03601400000000001,0.033825,Charge+++++
0.0,182.9594038617925,1155.97489547203,396.9873385,0.03601400000000001,0.03685000000000001,Discharge-----
0.0,182.9594038617925,952.6866689589273,368.387328,0.03601400000000001,0.03938,Discharge-----
0.0,182.9594038617925,749.3984424458245,351.3782577,0.03601400000000001,0.040458,Discharge-----
0.0,182.9594038617925,546.1102159327216,350.3099582,0.03601400000000001,0.039787,Discharge-----
0.0,182.9594038617925,342.82198941961883,347.7949997,0.03601400000000001,0.03894,Discharge-----
0.0,63.87242852033306,271.85262439702655,357.8807683,0.03601400000000001,0.038412,Discharge-----
0.0,0.0,271.85262439702655,412.5232464,0.03601400000000001,0.037477,Discharge-----
0.0,0.0,271.85262439702655,497.8935291,0.03601400000000001,0.037499000000000005,Discharge-----
0.0,0.0,271.85262439702655,470.6258442,0.03601400000000001,0.03767500000000001,Discharge-----
0.0,0.0,271.85262439702655,395.716442,0.03601400000000001,0.036157,Discharge-----
0.0,0.0,271.85262439702655,386.4918311,0.03601400000000001,0.038434,Discharge-----
0.0,0.0,271.85262439702655,364.1530894,0.03601400000000001,0.038049000000000006,Discharge-----
0.0,0.0,271.85262439702655,343.3985604,0.03601400000000001,0.037466000000000006,Discharge-----
203.28822651310279,0.0,454.81202825881905,323.9027288,0.03601400000000001,0.035002000000000005,Charge+++++
203.28822651310279,0.0,637.7714321206115,304.8851598,0.03601400000000001,0.034980000000000004,Charge+++++
203.28822651310279,0.0,820.730835982404,305.3724492,0.03601400000000001,0.03356100000000001,Charge+++++
203.28822651310279,0.0,1003.6902398441964,367.3357412,0.03601400000000001,0.032197,Charge+++++
203.28822651310279,0.0,1186.6496437059889,497.5709016,0.03601400000000001,0.031306,Charge+++++
172.61347827914392,0.0,1359.2631219851328,609.4938772,0.03401200000000001,0.030767,Charge+++++
0.0,0.0,1359.2631219851328,667.3896237,0.03401200000000001,0.030745,Charge+++++
0.0,0.0,1359.2631219851328,659.479292,0.03401200000000001,0.030536000000000004,Charge+++++
