charge,discharge,capacity,Energy_use,Average_daily_cost,Energy_hourly_cost,Charge_or_discharge
0.0,0.0,568.5795316915431,635.1803207,0.030305000000000006,0.026433000000000005,Charge+++++
0.0,0.0,568.5795316915431,694.6018299,0.030305000000000006,0.026433000000000005,Charge+++++
0.0,0.0,568.5795316915431,654.9534385,0.030305000000000006,0.026422,Charge+++++
0.0,0.0,568.5795316915431,601.6675168,0.030305000000000006,0.025509000000000004,Charge+++++
0.0,0.0,568.5795316915431,520.8430075,0.030305000000000006,0.026510000000000002,Charge+++++
0.0,0.0,568.5795316915431,451.2194334,0.030305000000000006,0.027511000000000004,Charge+++++
0.0,0.0,568.5795316915431,388.7931939,0.030305000000000006,0.028182000000000002,Charge+++++
0.0,0.0,568.5795316915431,372.2268004,0.030305000000000006,0.028457000000000003,Charge+++++
0.0,0.0,568.5795316915431,345.5514778,0.030305000000000006,0.028798,Charge+++++
0.0,0.0,568.5795316915431,362.8496416,0.030305000000000006,0.028314000000000002,Charge+++++
0.0,0.0,568.5795316915431,371.611103,0.030305000000000006,0.029579000000000005,Charge+++++
0.0,0.0,568.5795316915431,389.4687203,0.030305000000000006,0.030228000000000005,Charge+++++
0.0,181.45693607512072,366.9607138302979,456.59156,0.030305000000000006,0.030844,Discharge-----
0.0,181.45693607512072,165.34189596905264,532.4160642,0.030305000000000006,0.03157,Discharge-----
0.0,46.463390667669614,113.71590633830863,508.3262571,0.030305000000000006,0.032626,Discharge-----
0.0,0.0,113.71590633830863,428.8484229,0.030305000000000006,0.033417999999999996,Discharge-----
0.0,0.0,113.71590633830863,408.9204218,0.030305000000000006,0.03388,Discharge-----
0.0,0.0,113.71590633830863,381.2270718,0.030305000000000006,0.034023000000000005,Discharge-----
0.0,0.0,113.71590633830863,355.4751779,0.030305000000000006,0.033858000000000006,Discharge-----
0.0,0.0,113.71590633830863,357.7066378,0.030305000000000006,0.03356100000000001,Discharge-----
0.0,0.0,113.71590633830863,352.4471705,0.030305000000000006,0.033209,Discharge-----
0.0,0.0,113.71590633830863,355.2710825,0.030305000000000006,0.032934000000000005,Discharge-----
0.0,0.0,113.71590633830863,399.7040185,0.030305000000000006,0.032615000000000005,Discharge-----
0.0,0.0,113.71590633830863,502.3559435,0.030305000000000006,0.032296000000000005,Discharge-----
201.61881786124525,0.0,295.17284241342935,634.2627189,0.036795,0.03234,Charge+++++
201.61881786124525,0.0,476.6297784885501,694.1354113,0.036795,0.031801,Charge+++++
91.94975320299307,0.0,568.5795316915431,679.4077974,0.036795,0.030921,Charge+++++
0.0,0.0,568.5795316915431,627.8545175,0.036795,0.030679000000000005,Charge+++++
0.0,0.0,568.5795316915431,535.1909435,0.036795,0.031086000000000003,Charge+++++
0.0,0.0,568.5795316915431,451.2150221,0.036795,0.033473,Charge+++++
0.0,0.0,568.5795316915431,363.2519226,0.036795,0.03613500000000001,Charge+++++
0.0,181.45693607512072,366.9607138302979,339.3946162,0.036795,0.037301,Discharge-----
