Sensitivity,Pygad NPV [Euro],Pygad_LCOS [Euro/kWh],FF NPV [Euro],FF_LCOS [Euro/kWh]
-20%,-4090.8506345718006,0.18891934070907868,-43.436185424196765,0.20798957685765898
-10%,-4615.725710162601,0.20721322780533735,-48.81618542419676,0.22801825480877574
Base,-5140.6007857534005,0.22550711490159606,-54.19618542419676,0.24804693275989254
+10%,-5665.475861344201,0.24380100199785476,-59.576185424196765,0.2680756107110093
+20%,-6190.350936935,0.26209488909411344,-64.95618542419675,0.2881042886621261
