Case,-20%,-10%,Base,10%,20%
Case_2_Pygad_NPV,-2974,-8198,-6316,-8203,-10709
Case_2_Pygad_LCOS,0.189169,0.207429,0.225656,0.243953,0.262041
Case_2_Firefly_NPV,-40.74,-46.12,-51.51,-56.88,-62.26
Case_2_Firefly_LCOS,0.212639925,0.233223991,0.253808057,0.274392123,0.294976189
Case_2_Pygad_NPV_STD,1878,7258,4756,5925,13242
Case_2_Pygad_LCOS_STD,0.000334631,0.000256572,0.00025179,0.000215714,0.0001983
Case_2_Firefly_NPV_STD,0,0,0,0,0
Case_2_Firefly_LCOS_STD,0,0,0,0,0
