charge,discharge,capacity,Energy_use,Average_daily_cost,Energy_hourly_cost,Charge_or_discharge,Gas_heating_needed,Gas_heating_before_ELH_installment
0.0,0.0,0.08388000000000001,752.911948972896,0.030305000000000006,0.026673300000000004,Charge+++++,487.6519371407488,599.496984
0.0,0.0,0.08388000000000001,812.3334581728959,0.030305000000000006,0.026673300000000004,Charge+++++,528.6915008407489,640.5365477
0.0,0.0,0.08388000000000001,772.6850667728959,0.030305000000000006,0.0266622,Charge+++++,462.0219737407489,573.8670206
0.0,0.0,0.08388000000000001,719.399145072896,0.030305000000000006,0.025740900000000004,Charge+++++,478.5395839407488,590.3846308
0.0,0.0,0.08388000000000001,638.5746357728959,0.030305000000000006,0.026751000000000004,Charge+++++,542.2590917407489,654.1041386
0.0,0.0,0.08388000000000001,568.951061672896,0.030305000000000006,0.027761100000000004,Charge+++++,627.3891481407488,739.234195
0.0,0.0,0.08388000000000001,506.52482217289594,0.030305000000000006,0.028438200000000004,Charge+++++,765.9519549407488,877.7970018
0.0,0.0,0.08388000000000001,489.95842867289593,0.030305000000000006,0.028715700000000004,Charge+++++,856.9278117407488,968.7728586
0.0,0.0,0.08388000000000001,463.283106072896,0.030305000000000006,0.0290598,Charge+++++,808.2859785407488,920.1310254
0.0,0.0,0.08388000000000001,480.581269872896,0.030305000000000006,0.0285714,Charge+++++,898.4745621407488,1010.319609
0.0,0.0,0.08388000000000001,489.342731272896,0.030305000000000006,0.029847900000000004,Charge+++++,941.8982541407488,1053.743301
0.0,0.06039360000000001,0.016776000000000003,507.2003485728959,0.030305000000000006,0.030502800000000004,Discharge-----,951.7690551407488,1063.614102
0.0,0.0,0.016776000000000003,574.323188272896,0.030305000000000006,0.0311244,Discharge-----,1011.4294891407487,1123.274536
0.0,0.0,0.016776000000000003,650.147692472896,0.030305000000000006,0.031857,Discharge-----,980.5947761407488,1092.439823
0.0,0.0,0.016776000000000003,626.057885372896,0.030305000000000006,0.0329226,Discharge-----,961.5283311407488,1073.373378
0.0,0.0,0.016776000000000003,546.580051172896,0.030305000000000006,0.0337218,Discharge-----,830.3467021407488,942.191749
0.0,0.0,0.016776000000000003,526.6520500728959,0.030305000000000006,0.034188,Discharge-----,759.4301025407489,871.2751494
0.0,0.0,0.016776000000000003,498.9587000728959,0.030305000000000006,0.0343323,Discharge-----,619.8433582407488,731.6884051
0.0,0.0,0.016776000000000003,473.206806172896,0.030305000000000006,0.0341658,Discharge-----,521.4306280407488,633.2756749
0.0,0.0,0.016776000000000003,475.438266072896,0.030305000000000006,0.0338661,Discharge-----,553.0731787407489,664.9182256
0.0,0.0,0.016776000000000003,470.178798772896,0.030305000000000006,0.0335109,Discharge-----,522.9082949407489,634.7533418
0.0,0.0,0.016776000000000003,473.00271077289597,0.030305000000000006,0.0332334,Discharge-----,469.9565310407488,581.8015779
0.0,0.0,0.016776000000000003,517.435646772896,0.030305000000000006,0.0329115,Discharge-----,417.7155116407488,529.5605585
0.0,0.0,0.016776000000000003,620.087571772896,0.030305000000000006,0.0325896,Discharge-----,363.1572086407488,475.0022555
0.06710400000000001,0.0,0.08388000000000001,751.9943471728959,0.036795,0.032634,Charge+++++,483.3413315407488,595.1863784
0.0,0.0,0.08388000000000001,811.8670395728959,0.036795,0.0320901,Charge+++++,526.2529934407488,638.0980403
0.0,0.0,0.08388000000000001,797.139425672896,0.036795,0.031202100000000003,Charge+++++,570.1323022407488,681.9773491
0.0,0.0,0.08388000000000001,745.586145772896,0.036795,0.030957900000000003,Charge+++++,594.2399799407489,706.0850268
0.0,0.0,0.08388000000000001,652.9225717728959,0.036795,0.0313686,Charge+++++,605.3345777407488,717.1796246
0.0,0.0,0.08388000000000001,568.946650372896,0.036795,0.0337773,Charge+++++,626.8413426407488,738.6863895
0.0,0.0,0.08388000000000001,480.983550872896,0.036795,0.03646350000000001,Charge+++++,645.4872350407488,757.3322819
0.0,0.06039360000000001,0.016776000000000003,457.1262444728959,0.036795,0.037640099999999996,Discharge-----,707.1039868407488,818.9490337
0.0,0.0,0.016776000000000003,433.830763172896,0.036795,0.0387057,Discharge-----,674.8850455407488,786.7300924
0.0,0.0,0.016776000000000003,424.7809002728959,0.036795,0.0390942,Discharge-----,649.6850187407488,761.5300656
0.0,0.0,0.016776000000000003,423.863937272896,0.036795,0.0393051,Discharge-----,649.1459679407488,760.9910148
0.0,0.0,0.016776000000000003,439.362666072896,0.036795,0.0389277,Discharge-----,647.2330943407488,759.0781412
0.0,0.0,0.016776000000000003,500.62183437289593,0.036795,0.0386835,Discharge-----,674.2755417407488,786.1205886
0.0,0.0,0.016776000000000003,574.978886072896,0.036795,0.038517,Discharge-----,626.2270707407488,738.0721176
0.0,0.0,0.016776000000000003,554.979680872896,0.036795,0.038628,Discharge-----,613.8002971407489,725.645344
0.0,0.0,0.016776000000000003,502.07521047289595,0.036795,0.0398823,Discharge-----,587.3632816407488,699.2083285
