charge,discharge,capacity,Energy_use,Average_daily_cost,Energy_hourly_cost,Charge_or_discharge,Gas_heating_needed,Gas_heating_before_ELH_installment
0.0,0.0,1.0485e-05,735.8680585380752,0.030305000000000006,0.026673300000000004,Charge+++++,503.8436330538287,599.496984
0.0,0.0,1.0485e-05,795.2895677380751,0.030305000000000006,0.026673300000000004,Charge+++++,544.8831967538288,640.5365477
0.0,0.0,1.0485e-05,755.6411763380751,0.030305000000000006,0.0266622,Charge+++++,478.21366965382873,573.8670206
0.0,0.0,1.0485e-05,702.3552546380752,0.030305000000000006,0.025740900000000004,Charge+++++,494.73127985382865,590.3846308
0.0,0.0,1.0485e-05,621.5307453380751,0.030305000000000006,0.026751000000000004,Charge+++++,558.4507876538287,654.1041386
0.0,0.0,1.0485e-05,551.9071712380751,0.030305000000000006,0.027761100000000004,Charge+++++,643.5808440538287,739.234195
0.0,0.0,1.0485e-05,489.48093173807507,0.030305000000000006,0.028438200000000004,Charge+++++,782.1436508538286,877.7970018
0.0,0.0,1.0485e-05,472.91453823807507,0.030305000000000006,0.028715700000000004,Charge+++++,873.1195076538286,968.7728586
0.0,0.0,1.0485e-05,446.23921563807505,0.030305000000000006,0.0290598,Charge+++++,824.4776744538287,920.1310254
0.0,0.0,1.0485e-05,463.53737943807505,0.030305000000000006,0.0285714,Charge+++++,914.6662580538286,1010.319609
0.0,0.0,1.0485e-05,472.2988408380751,0.030305000000000006,0.029847900000000004,Charge+++++,958.0899500538287,1053.743301
0.0,7.5492000000000005e-06,2.097e-06,490.15645813807504,0.030305000000000006,0.030502800000000004,Discharge-----,967.9607510538287,1063.614102
0.0,0.0,2.097e-06,557.2792978380751,0.030305000000000006,0.0311244,Discharge-----,1027.6211850538286,1123.274536
0.0,0.0,2.097e-06,633.1038020380752,0.030305000000000006,0.031857,Discharge-----,996.7864720538287,1092.439823
0.0,0.0,2.097e-06,609.0139949380751,0.030305000000000006,0.0329226,Discharge-----,977.7200270538287,1073.373378
0.0,0.0,2.097e-06,529.5361607380751,0.030305000000000006,0.0337218,Discharge-----,846.5383980538286,942.191749
0.0,0.0,2.097e-06,509.60815963807505,0.030305000000000006,0.034188,Discharge-----,775.6217984538287,871.2751494
0.0,0.0,2.097e-06,481.91480963807504,0.030305000000000006,0.0343323,Discharge-----,636.0350541538287,731.6884051
0.0,0.0,2.097e-06,456.16291573807507,0.030305000000000006,0.0341658,Discharge-----,537.6223239538288,633.2756749
0.0,0.0,2.097e-06,458.3943756380751,0.030305000000000006,0.0338661,Discharge-----,569.2648746538287,664.9182256
0.0,0.0,2.097e-06,453.1349083380751,0.030305000000000006,0.0335109,Discharge-----,539.0999908538288,634.7533418
0.0,0.0,2.097e-06,455.95882033807504,0.030305000000000006,0.0332334,Discharge-----,486.14822695382867,581.8015779
0.0,0.0,2.097e-06,500.3917563380751,0.030305000000000006,0.0329115,Discharge-----,433.90720755382864,529.5605585
0.0,0.0,2.097e-06,603.0436813380751,0.030305000000000006,0.0325896,Discharge-----,379.3489045538287,475.0022555
8.388e-06,0.0,1.0485e-05,734.9504567380751,0.036795,0.032634,Charge+++++,499.53302745382865,595.1863784
0.0,0.0,1.0485e-05,794.8231491380751,0.036795,0.0320901,Charge+++++,542.4446893538286,638.0980403
0.0,0.0,1.0485e-05,780.0955352380752,0.036795,0.031202100000000003,Charge+++++,586.3239981538286,681.9773491
0.0,0.0,1.0485e-05,728.5422553380752,0.036795,0.030957900000000003,Charge+++++,610.4316758538287,706.0850268
0.0,0.0,1.0485e-05,635.8786813380751,0.036795,0.0313686,Charge+++++,621.5262736538286,717.1796246
0.0,0.0,1.0485e-05,551.9027599380751,0.036795,0.0337773,Charge+++++,643.0330385538286,738.6863895
0.0,0.0,1.0485e-05,463.93966043807507,0.036795,0.03646350000000001,Charge+++++,661.6789309538287,757.3322819
0.0,7.5492000000000005e-06,2.097e-06,440.08235403807504,0.036795,0.037640099999999996,Discharge-----,723.2956827538287,818.9490337
0.0,0.0,2.097e-06,416.7868727380751,0.036795,0.0387057,Discharge-----,691.0767414538286,786.7300924
0.0,0.0,2.097e-06,407.73700983807504,0.036795,0.0390942,Discharge-----,665.8767146538287,761.5300656
0.0,0.0,2.097e-06,406.8200468380751,0.036795,0.0393051,Discharge-----,665.3376638538286,760.9910148
0.0,0.0,2.097e-06,422.31877563807507,0.036795,0.0389277,Discharge-----,663.4247902538286,759.0781412
0.0,0.0,2.097e-06,483.57794393807507,0.036795,0.0386835,Discharge-----,690.4672376538288,786.1205886
0.0,0.0,2.097e-06,557.9349956380751,0.036795,0.038517,Discharge-----,642.4187666538287,738.0721176
0.0,0.0,2.097e-06,537.9357904380751,0.036795,0.038628,Discharge-----,629.9919930538288,725.645344
0.0,0.0,2.097e-06,485.0313200380751,0.036795,0.0398823,Discharge-----,603.5549775538286,699.2083285
0.0,0.0,2.097e-06,473.0633140380751,0.036795,0.04164720000000001,Discharge-----,561.7544368538288,657.4077878
0.0,0.0,2.097e-06,455.48422953807506,0.036795,0.0427128,Discharge-----,465.2447820538287,560.898133
0.0,0.0,2.097e-06,432.4228162380751,0.036795,0.04093680000000001,Discharge-----,383.4695288538287,479.1228798
0.0,0.0,2.097e-06,419.7913061380751,0.036795,0.03942720000000001,Discharge-----,353.5310162538287,449.1843672
0.0,0.0,2.097e-06,415.7557850380751,0.036795,0.0391053,Discharge-----,333.4178087538287,429.0711597
0.0,0.0,2.097e-06,429.4755411380751,0.036795,0.0385614,Discharge-----,330.94400245382866,426.5973534
