ESS_power,ESS_capacity,ELH_power,fitness_function,Time,std_ESS_power,std_ESS_capacity,std_fitness_function,std_ELH_power,profit_kWh,profit_peak_kW,profit_saved_gas_heating_total,Saved_cost_heating,heating_cost_electricity,cost_charge,cost_O_n_M_fixed,cost_O_n_m_variable,OPEX_ELH,Cashflow_total,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
1505.080043,220.5670463,616.1749312,416054.6528,386.7465227,559.6550345,113.3783232,213427.9881,288.5265002,15115.62606,17868.26631,709578.8836,1204403.706,-494824.8221,-15238.8494,-31536.59041,-202.5265125,-4618.785134,690966.0245,[-513877.74193577],42505.96122,38255.3651
0.1,0.1,0.1,167.1165167,234.0502226,559.6550345,113.3783232,213427.9881,288.5265002,14.03355093,7.831076056,313.9560798,531.9768303,-218.0207505,-14.14821987,-4.19,-0.188028343,-1.5,315.7944585,[-86.92],39.4631072,35.51679648
319.9417264,150.5645718,399.9609944,506540.766,224.5530586,559.6550345,113.3783232,213427.9881,288.5265002,21408.48798,35949.80141,842097.1104,1428501.446,-586404.3353,-21583.01105,-13375.06527,-286.8413384,-5979.979303,858230.5028,[-238674.14154174],60201.83064,54181.64757
0.1,0.1,251.8154041,431622.5358,237.6554596,559.6550345,113.3783232,213427.9881,288.5265002,93.36751111,51.81669639,611008.4737,1037662.721,-426654.2469,-94.15436243,-38.0944806,-1.252132922,-3757.037583,607263.1194,[-83455.06184716],181.0087797,162.7894046
725.6660106,0.1,391.0810524,460910.2565,303.0010591,559.6550345,113.3783232,213427.9881,288.5265002,31.59506192,17.63084298,822739.1804,1395839.144,-573099.9635,-31.85262645,-29884.00923,-0.423326012,-5765.00845,787107.1127,[-237544.06692271],88.84702964,79.96232668
268.5980203,0.1,310.4614152,456013.8154,414.6868653,559.6550345,113.3783232,213427.9881,288.5265002,317.1277183,176.9652809,711123.0729,1207016.258,-495893.1854,-319.7129594,-11193.03689,-4.24903147,-4633.209798,695466.9572,[-142831.12614418],891.7803632,802.6023269
164.7339009,155.2845516,107.4407546,151437.3567,422.7677872,559.6550345,113.3783232,213427.9881,288.5265002,21350.61733,42001.98453,300376.4112,509782.9782,-209406.5669,-21525.10449,-6846.63819,-286.0659592,-1597.997902,333473.2066,[-120533.52987397],60039.09522,54035.1857
1517.0392,293.688898,867.5466458,496983.9432,423.4827738,559.6550345,113.3783232,213427.9881,288.5265002,16186.64869,20582.3038,790933.2552,1342101.33,-551168.0744,-16318.60306,-26514.66912,-216.8765948,-5423.992231,779228.0667,[-627370.60118231],45517.735,40965.9615
0.1,0.1,32.21099123,68197.71262,314.104414,559.6550345,113.3783232,213427.9881,288.5265002,14.03355093,7.831076056,97393.71938,165084.4886,-67690.7692,-14.14821987,-4.19,-0.188028343,-480.624098,96916.43367,[-10722.08029445],39.4631072,35.51679648
186.415853,246.3908376,801.5260486,721487.6862,219.4805357,559.6550345,113.3783232,213427.9881,288.5265002,1482.40464,400.1839364,1171904.861,1982867.397,-810962.5367,-1510.702215,-7810.82424,-19.98687675,-12022.89073,1152423.045,[-389099.42023009],614.1437785,535.9519739
