ESS_power,ESS_capacity,ELH_power,fitness_function,Time,std_ESS_power,std_ESS_capacity,std_fitness_function,std_ELH_power,profit_kWh,profit_peak_kW,profit_saved_gas_heating_total,Saved_cost_heating,heating_cost_electricity,cost_charge,cost_O_n_M_fixed,cost_O_n_m_variable,OPEX_ELH,Cashflow_total,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
[201.41620965],[757.64946613],[966.20128544],565289.8727014647,12.31732988357544,360.62283524749006,350.5459847529587,220482.09850063862,296.7506187520735,4805.730325536886,4166.203929779513,944590.1355071855,1600945.7470134015,-656355.6115062158,-4852.000907030166,-4057.7551660461854,-64.5569284771254,-7251.032847791449,937336.7239131569,[-644853.76995347],44943.16840852417,40437.17295250103
[246.93473402],[65.49265939],[102.50883536],138975.85743691394,10.163480997085571,360.62283524749006,350.5459847529587,220482.09850063862,296.7506187520735,12971.057263649172,15680.140275781028,278725.26158074115,472982.2337439356,-194256.97216319453,-13076.797974681427,-10170.20639696919,-173.7925363235822,-1469.7191553045361,282485.9430568926,[-96184.557728],36475.31732223353,32827.78559001018
[311.21339765],[636.15757583],[178.82885245],38380.1047647278,9.283358573913574,360.62283524749006,350.5459847529587,220482.09850063862,296.7506187520735,8494.168032953381,15818.048021238774,444228.3731486639,754496.1482191121,-310267.7750704482,-8625.67887030523,-12081.179674613739,-112.21773618942936,-2515.0049760039797,445206.5079457437,[-353129.19801592],42835.61517667528,38531.49150398361
[120.53876149],[834.37052733],[864.5931607],526510.8985354297,9.115817546844482,360.62283524749006,350.5459847529587,220482.09850063862,296.7506187520735,5094.868239857856,3570.8708284119543,920850.1245929977,1561055.2179012224,-640205.0933082249,-5139.685168841099,-2635.5058946191607,-68.41300841659186,-6931.532503334492,914740.7270860563,[-629026.43176834],26085.45028089057,23460.547420865576
[307.8603697],[151.5987253],[201.11562107],276563.00404287316,9.192455768585205,360.62283524749006,350.5459847529587,220482.09850063862,296.7506187520735,21162.31097875967,42153.603525856255,510367.81638490676,866888.9551456297,-356521.1387607232,-21344.773374767105,-12718.94699892646,-284.18880501326277,-2980.3033035134695,536355.5184073023,[-171421.34059679],62525.59652926481,56273.03687633832
[811.09802428],[82.03034454],[568.26095593],564483.303979084,9.248367547988892,360.62283524749006,350.5459847529587,220482.09850063862,296.7506187520735,7881.635785825887,5598.640608097015,829657.5161776004,1407517.646426764,-577860.1302491641,-7945.887277061385,-23635.706768949527,-105.6019910910509,-5841.277903609377,805609.3186308119,[-340825.62471081],22163.587783390285,19947.229005051264
[963.40870013],[95.23394619],[562.25425857],530750.4105726014,9.269107818603516,360.62283524749006,350.5459847529587,220482.09850063862,296.7506187520735,6871.686224034735,4633.621966033175,799538.6870146972,1356647.612971321,-557108.925956624,-6927.704555659583,-26643.34734078227,-92.07019546830958,-5514.882737523975,771865.9903753309,[-366638.87687362],19323.554777829475,17391.199300046526
[325.0630712],[972.76939964],[281.53699077],52649.35292608503,9.32745885848999,360.62283524749006,350.5459847529587,220482.09850063862,296.7506187520735,12977.965152288767,27870.862681357237,653014.0683468563,1108719.8514410944,-455705.783094238,-13107.702190740136,-13326.10757106187,-174.478657211678,-4110.876548489815,663143.7312129989,[-520216.28667626],12588.379961047953,11286.224496609282
[1215.30836396],[367.94155182],[850.28241094],530009.6226709497,9.277180194854736,360.62283524749006,350.5459847529587,220482.09850063862,296.7506187520735,14059.377838776418,21502.146479440966,855473.5629708902,1451065.6121283793,-595592.0491574891,-14259.261508831489,-24505.46270191211,-190.54510427753735,-6132.05244299064,845947.7655310957,[-605654.27102673],68639.74875915861,61775.77388324275
[207.91676563],[0.1],[467.15053337],622110.9855172866,9.074800968170166,360.62283524749006,350.5459847529587,220482.09850063862,296.7506187520735,5883.004366220722,3806.057773986699,894359.6216349105,1516516.1729061909,-622156.5512712811,-5930.962913627138,-8878.015161396414,-78.82335489131651,-6595.166882040834,882565.7154631622,[-185697.19138011],16543.327710636964,14888.99493957327
