ESS_power,ESS_capacity,ELH_power,fitness_function,Time,std_ESS_power,std_ESS_capacity,std_fitness_function,std_ELH_power,profit_kWh,profit_peak_kW,profit_saved_gas_heating_total,Saved_cost_heating,heating_cost_electricity,cost_charge,cost_O_n_M_fixed,cost_O_n_m_variable,OPEX_ELH,Cashflow_total,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
1292.302082,541.3421386,524.2024111,284850.2799,20.00714087,601.2312154,187.8405755,188363.2138,408.1733991,16221.6441,26466.02602,677351.2972,1149883.739,-472532.4421,-16386.96223,-29720.69541,-213.5817395,-4324.32156,669393.4063,[-576600.74871857],38480.54912,34636.88948
148.3607761,0.1,342.8037444,513363.4512,17.04913735,601.2312154,187.8405755,188363.2138,408.1733991,1022.897831,570.8028393,752799.9256,1277581.822,-524781.8968,-1031.236546,-6122.942473,-13.70528284,-5034.023904,742191.7181,[-135651.60361869],2876.444243,2588.799819
316.2060727,343.1960167,1055.916373,731520.8468,16.53444123,601.2312154,187.8405755,188363.2138,408.1733991,11904.26094,13495.17587,1035543.755,1753792.653,-718248.8979,-12102.2727,-7157.509363,-161.0009542,-8664.49477,1032857.914,[-530342.85591115],70686.57164,63617.91448
1777.955311,523.5349458,1191.928983,420047.3294,16.75143266,601.2312154,187.8405755,188363.2138,408.1733991,20147.35176,32079.19904,751043.3831,1274606.346,-523562.9627,-20311.59398,-20905.14834,-269.9440216,-5016.578595,756766.669,[-863086.43053156],56655.44709,50989.90238
396.3792327,0.1,213.1695125,308952.5338,16.96595311,601.2312154,187.8405755,188363.2138,408.1733991,692.0626944,386.1884724,531362.3614,902547.7577,-371185.3962,-697.7044242,-16263.72339,-9.272592704,-3135.017754,512334.8944,[-129621.89235984],1946.117874,1751.506086
0.1,122.2475311,106.8458102,162989.3628,20.26376557,601.2312154,187.8405755,188363.2138,408.1733991,69.39240602,17.05381175,284411.2959,482645.5543,-198234.2585,-75.1178779,-4.19,-0.933000417,-1503.183797,282914.3174,[-82980.95144975],234.1914813,189.7483332
1395.406184,143.1299422,808.6345851,566969.4168,16.84039354,601.2312154,187.8405755,188363.2138,408.1733991,9438.831716,7412.276924,813634.3088,1380462.335,-566828.0264,-9515.777547,-27309.93894,-126.4660598,-5665.819562,787867.4154,[-531162.38825037],26542.50729,23888.25656
1236.7029,193.9038185,1118.411842,624323.9583,16.92413163,601.2312154,187.8405755,188363.2138,408.1733991,10816.21392,9566.835493,893793.5006,1515564.335,-621770.8347,-10904.38824,-20351.23038,-144.9208967,-6588.180074,876187.8304,[-629906.75983608],30415.78083,27374.20275
554.2415715,95.78664551,211.8629218,253285.9106,17.68697143,601.2312154,187.8405755,188363.2138,408.1733991,11736.2788,12853.51691,491892.8787,835503.1777,-343610.2989,-11831.95353,-20889.17324,-157.2483737,-2847.199985,480757.0993,[-189920.30797318],33003.05324,29702.74791
167.4813771,342.9315828,167.7589854,166954.5516,17.22972441,601.2312154,187.8405755,188363.2138,408.1733991,17315.29041,28766.79766,443436.2903,753149.0934,-309712.8032,-17459.39903,-7072.89769,-232.112331,-2509.60881,462244.3605,[-213951.97691411],41121.81086,36999.52331
