ESS_power,ESS_capacity,fitness_function,Time,std_ESS_power,std_ESS_capacity,std_fitness_function
117.03890058375478,117.03890058375478,-99011.22624227723,10.742600202560425,99.08261908297438,99.08261908297438,52505.87513390631
5.066878905201929,5.066878905201929,-11272.12873529425,11.90941309928894,99.08261908297438,99.08261908297438,52505.87513390631
19.24323415081624,19.24323415081624,-56177.36621755513,11.105488061904907,99.08261908297438,99.08261908297438,52505.87513390631
27.772552263730894,27.772552263730894,-67095.94032309519,10.462328433990479,99.08261908297438,99.08261908297438,52505.87513390631
27.590465447955086,27.590465447955086,-30200.551887404774,10.891095399856567,99.08261908297438,99.08261908297438,52505.87513390631
254.24046993532681,254.24046993532681,-123329.39711217459,10.929054975509644,99.08261908297438,99.08261908297438,52505.87513390631
65.7362938147292,65.7362938147292,-76904.79873126585,10.230210304260254,99.08261908297438,99.08261908297438,52505.87513390631
162.85394047953042,162.85394047953042,-77707.22166939579,9.944157123565674,99.08261908297438,99.08261908297438,52505.87513390631
21.74687637390863,21.74687637390863,-22785.46266138645,10.925912618637085,99.08261908297438,99.08261908297438,52505.87513390631
291.9783088505535,291.9783088505535,-199310.56202653056,10.854823350906372,99.08261908297438,99.08261908297438,52505.87513390631
