ESS_power,ESS_capacity,fitness_function,Time,std_ESS_power,std_ESS_capacity,std_fitness_function,profit_kWh,profit_peak_kW,cost_charge,cost_O_n_M_fixed,cost_O_n_m_variable,Cashflow_total,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
0.1,0.1,-56.885447884106114,317.05383801460266,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-59.18000000000001,39.46310720000001,35.516796480000004
0.1,0.1,-56.885447884106114,284.25927925109863,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-59.18000000000001,39.46310720000001,35.516796480000004
0.1,0.1,-56.885447884106114,294.4470126628876,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-59.18000000000001,39.46310720000001,35.516796480000004
0.1,0.1,-56.885447884106114,283.73481464385986,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-59.18000000000001,39.46310720000001,35.516796480000004
0.1,0.1,-56.885447884106114,283.59602522850037,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-59.18000000000001,39.46310720000001,35.516796480000004
0.1,0.1,-56.885447884106114,281.91894793510437,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-59.18000000000001,39.46310720000001,35.516796480000004
0.1,0.1,-56.885447884106114,285.02131485939026,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-59.18000000000001,39.46310720000001,35.516796480000004
0.1,0.1,-56.885447884106114,284.5948212146759,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-59.18000000000001,39.46310720000001,35.516796480000004
0.1,0.1,-56.885447884106114,280.038911819458,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-59.18000000000001,39.46310720000001,35.516796480000004
0.1,0.1,-56.885447884106114,277.6245279312134,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-59.18000000000001,39.46310720000001,35.516796480000004
