ESS_power,ESS_capacity,fitness_function,Time,std_ESS_power,std_ESS_capacity,std_fitness_function,profit_kWh,profit_peak_kW,cost_charge,cost_O_n_M_fixed,cost_O_n_m_variable,Cashflow_total,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
0.1,0.1,-40.74544788410611,290.40769481658936,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-43.040000000000006,39.46310720000001,35.516796480000004
0.1,0.1,-40.74544788410611,285.03054118156433,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-43.040000000000006,39.46310720000001,35.516796480000004
0.1,0.1,-40.74544788410611,285.4643187522888,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-43.040000000000006,39.46310720000001,35.516796480000004
0.1,0.1,-40.74544788410611,281.05413007736206,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-43.040000000000006,39.46310720000001,35.516796480000004
0.1,0.1,-40.74544788410611,281.9648015499115,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-43.040000000000006,39.46310720000001,35.516796480000004
0.1,0.1,-40.74544788410611,280.89222860336304,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-43.040000000000006,39.46310720000001,35.516796480000004
0.1,0.1,-40.74544788410611,276.99684619903564,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-43.040000000000006,39.46310720000001,35.516796480000004
0.1,0.1,-40.74544788410611,282.56248474121094,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-43.040000000000006,39.46310720000001,35.516796480000004
0.1,0.1,-40.74544788410611,282.7987072467804,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-43.040000000000006,39.46310720000001,35.516796480000004
0.1,0.1,-40.74544788410611,284.0157415866852,0.0,0.0,0.0,14.033550928992481,7.83107605633848,-14.148219874809604,-4.19,-0.1880283434112,3.338378767110159,-43.040000000000006,39.46310720000001,35.516796480000004
