charge,discharge,capacity,Energy_use,Average_daily_cost,Energy_hourly_cost,Charge_or_discharge,Gas_heating_still_needed,Gas_heating_before_ELH_installment
0.0,0.0,886.308036964065,1216.4620250164435,0.030305000000000006,0.026673300000000004,Charge+++++,,599.496984
0.0,0.0,886.308036964065,1275.8835342164434,0.030305000000000006,0.026673300000000004,Charge+++++,,640.5365477
0.0,0.0,886.308036964065,1236.2351428164434,0.030305000000000006,0.0266622,Charge+++++,,573.8670206
0.0,0.0,886.308036964065,1182.9492211164434,0.030305000000000006,0.025740900000000004,Charge+++++,,590.3846308
0.0,0.0,886.308036964065,1102.1247118164433,0.030305000000000006,0.026751000000000004,Charge+++++,,654.1041386
0.0,0.0,886.308036964065,1032.5011377164435,0.030305000000000006,0.027761100000000004,Charge+++++,,739.234195
0.0,0.0,886.308036964065,970.0748982164434,0.030305000000000006,0.028438200000000004,Charge+++++,,877.7970018
0.0,0.0,886.308036964065,953.5085047164434,0.030305000000000006,0.028715700000000004,Charge+++++,,968.7728586
0.0,0.0,886.308036964065,926.8331821164434,0.030305000000000006,0.0290598,Charge+++++,,920.1310254
0.0,0.0,886.308036964065,944.1313459164435,0.030305000000000006,0.0285714,Charge+++++,,1010.319609
0.0,0.0,886.308036964065,952.8928073164434,0.030305000000000006,0.029847900000000004,Charge+++++,,1053.743301
0.0,291.752010364212,562.139136559385,970.7504246164434,0.030305000000000006,0.030502800000000004,Discharge-----,,1063.614102
0.0,291.752010364212,237.97023615470493,1037.8732643164435,0.030305000000000006,0.0311244,Discharge-----,,1123.274536
0.0,54.63776588570274,177.261607392813,1113.6977685164434,0.030305000000000006,0.031857,Discharge-----,,1092.439823
0.0,0.0,177.261607392813,1089.6079614164435,0.030305000000000006,0.0329226,Discharge-----,,1073.373378
0.0,0.0,177.261607392813,1010.1301272164435,0.030305000000000006,0.0337218,Discharge-----,,942.191749
0.0,0.0,177.261607392813,990.2021261164434,0.030305000000000006,0.034188,Discharge-----,,871.2751494
0.0,0.0,177.261607392813,962.5087761164434,0.030305000000000006,0.0343323,Discharge-----,,731.6884051
0.0,0.0,177.261607392813,936.7568822164435,0.030305000000000006,0.0341658,Discharge-----,,633.2756749
0.0,0.0,177.261607392813,938.9883421164434,0.030305000000000006,0.0338661,Discharge-----,,664.9182256
0.0,0.0,177.261607392813,933.7288748164435,0.030305000000000006,0.0335109,Discharge-----,,634.7533418
0.0,0.0,177.261607392813,936.5527868164434,0.030305000000000006,0.0332334,Discharge-----,,581.8015779
0.0,0.0,177.261607392813,957.1361853421054,0.030305000000000006,0.0329115,Discharge-----,,529.5605585
0.0,0.0,177.261607392813,1002.3583177105263,0.030305000000000006,0.0325896,Discharge-----,,475.0022555
324.16890040468,0.0,469.01361775702503,1215.5444232164434,0.036795,0.032634,Charge+++++,,595.1863784
324.16890040468,0.0,760.7656281212371,1275.4171156164434,0.036795,0.0320901,Charge+++++,,638.0980403
125.54240884282785,0.0,886.308036964065,1260.6895017164434,0.036795,0.031202100000000003,Charge+++++,,681.9773491
0.0,0.0,886.308036964065,1209.1362218164436,0.036795,0.030957900000000003,Charge+++++,,706.0850268
0.0,0.0,886.308036964065,1116.4726478164434,0.036795,0.0313686,Charge+++++,,717.1796246
0.0,0.0,886.308036964065,1032.4967264164434,0.036795,0.0337773,Charge+++++,,738.6863895
0.0,0.0,886.308036964065,944.5336269164434,0.036795,0.03646350000000001,Charge+++++,,757.3322819
0.0,291.752010364212,562.139136559385,920.6763205164434,0.036795,0.037640099999999996,Discharge-----,,818.9490337
0.0,291.752010364212,237.97023615470493,897.3808392164435,0.036795,0.0387057,Discharge-----,,786.7300924
0.0,54.63776588570274,177.261607392813,888.3309763164434,0.036795,0.0390942,Discharge-----,,761.5300656
0.0,0.0,177.261607392813,887.4140133164435,0.036795,0.0393051,Discharge-----,,760.9910148
0.0,0.0,177.261607392813,902.9127421164435,0.036795,0.0389277,Discharge-----,,759.0781412
0.0,0.0,177.261607392813,964.1719104164434,0.036795,0.0386835,Discharge-----,,786.1205886
0.0,0.0,177.261607392813,1038.5289621164434,0.036795,0.038517,Discharge-----,,738.0721176
0.0,0.0,177.261607392813,1018.5297569164434,0.036795,0.038628,Discharge-----,,725.645344
0.0,0.0,177.261607392813,965.6252865164435,0.036795,0.0398823,Discharge-----,,699.2083285
0.0,0.0,177.261607392813,953.6572805164435,0.036795,0.04164720000000001,Discharge-----,,657.4077878
0.0,0.0,177.261607392813,936.0781960164434,0.036795,0.0427128,Discharge-----,,560.898133
0.0,0.0,177.261607392813,836.0749518736843,0.036795,0.04093680000000001,Discharge-----,,479.1228798
0.0,0.0,177.261607392813,791.9292179842105,0.036795,0.03942720000000001,Discharge-----,,449.1843672
0.0,0.0,177.261607392813,766.7218995157896,0.036795,0.0391053,Discharge-----,,429.0711597
0.0,0.0,177.261607392813,777.8376489842105,0.036795,0.0385614,Discharge-----,,426.5973534
324.16890040468,0.0,469.01361775702503,858.7557615736841,0.036795,0.03661890000000001,Charge+++++,,446.1338505
324.16890040468,0.0,760.7656281212371,1113.4826745164435,0.036795,0.0343434,Charge+++++,,571.3915521
125.54240884282785,0.0,886.308036964065,1224.0492901164434,0.036245000000000006,0.0340215,Charge+++++,,597.8356675
0.0,0.0,886.308036964065,1289.8547252164435,0.036245000000000006,0.0337107,Charge+++++,,667.1446223
0.0,0.0,886.308036964065,1275.1955797164435,0.036245000000000006,0.0334665,Charge+++++,,710.6459359
0.0,0.0,886.308036964065,1232.5249565164436,0.036245000000000006,0.0334554,Charge+++++,,773.3053073
