Sensitivity,Pygad NPV [Euro],Pygad_LCOS [Euro/kWh],FF NPV [Euro],FF_LCOS [Euro/kWh]
-20%,-1714.5645251747712,0.18884862337529673,-43.436185424196765,0.20798957685765898
-10%,-1951.2702861749713,0.20712210919830845,-48.81618542419676,0.22801825480877574
Base,-2187.9760471751715,0.22539559502132017,-54.19618542419676,0.24804693275989254
+10%,-2424.6818081753718,0.2436690808443319,-59.576185424196765,0.2680756107110093
+20%,-2661.387569175571,0.2619425666673435,-64.95618542419675,0.2881042886621261
