ESS_power,ESS_capacity,ELH_power,fitness_function,Time,std_ESS_power,std_ESS_capacity,std_fitness_function,std_ELH_power,cost_charging,Fixed_OnM,Variable_OnM,Cost_yearly,Cost_investment,Charge_summed_yearly,Discharge_summed_yearly
0.1,0.1,0.1,0.253808057,400.4178298,0,0,0,0,14.14821987,4.19,0.188028343,18.52624822,-86.92,39.4631072,35.51679648
0.1,0.1,0.1,0.253808057,360.1676717,0,0,0,0,14.14821987,4.19,0.188028343,18.52624822,-86.92,39.4631072,35.51679648
0.1,0.1,0.1,0.253808057,344.6511393,0,0,0,0,14.14821987,4.19,0.188028343,18.52624822,-86.92,39.4631072,35.51679648
0.1,0.1,0.1,0.253808057,367.043875,0,0,0,0,14.14821987,4.19,0.188028343,18.52624822,-86.92,39.4631072,35.51679648
0.1,0.1,0.1,0.253808057,363.0788925,0,0,0,0,14.14821987,4.19,0.188028343,18.52624822,-86.92,39.4631072,35.51679648
0.1,0.1,0.1,0.253808057,349.7134223,0,0,0,0,14.14821987,4.19,0.188028343,18.52624822,-86.92,39.4631072,35.51679648
0.1,0.1,0.1,0.253808057,380.762347,0,0,0,0,14.14821987,4.19,0.188028343,18.52624822,-86.92,39.4631072,35.51679648
0.1,0.1,0.1,0.253808057,361.375634,0,0,0,0,14.14821987,4.19,0.188028343,18.52624822,-86.92,39.4631072,35.51679648
0.1,0.1,0.1,0.253808057,381.3412523,0,0,0,0,14.14821987,4.19,0.188028343,18.52624822,-86.92,39.4631072,35.51679648
0.1,0.1,0.1,0.253808057,365.5863354,0,0,0,0,14.14821987,4.19,0.188028343,18.52624822,-86.92,39.4631072,35.51679648
