ESS_power,ESS_capacity,ELH_power,fitness_function,Time,std_ESS_power,std_ESS_capacity,std_fitness_function,std_ELH_power,cost_charging,Fixed_OnM,Variable_OnM,Cost_yearly,Cost_investment,Charge_summed_yearly,Discharge_summed_yearly
[381.48288619],[387.41721735],[227.1877119],0.7918098196837539,12.054781675338745,155.08592441385682,208.95087438639464,0.24856754648193785,74.374289143927,6275.019590490106,15449.066106362865,79.45796828641042,21803.543665139387,-282792.0046417431,20273.256677685527,18252.43870407534
[114.87182156],[265.61884362],[280.07256779],0.4570149375965682,10.006837368011475,155.08592441385682,208.95087438639464,0.24856754648193785,74.374289143927,15709.751989607725,4813.129323451193,208.83689623122862,20731.718209290146,-213231.81543652754,38662.485187324375,34789.75180283458
[339.60269347],[147.88572552],[207.12596317],0.3415573764078417,9.795767545700073,155.08592441385682,208.95087438639464,0.24856754648193785,74.374289143927,18361.54941621854,13837.412241858436,244.02764729208485,32442.989305369054,-176690.12416588404,51216.15725662835,46094.54153096551
[169.12011659],[155.14049927],[160.81300978],0.2599075019674212,9.839170217514038,155.08592441385682,208.95087438639464,0.24856754648193785,74.374289143927,20677.647912072465,6801.7299765374255,274.8031767131774,27754.181065323068,-138807.0245032218,57675.27929455076,51907.75136509568
[523.73797202],[154.53232298],[289.23090494],0.4155268919227682,9.866376399993896,155.08592441385682,208.95087438639464,0.24856754648193785,74.374289143927,20386.008700534334,20790.63966402995,270.933003969329,41447.58136853361,-233869.4660562126,56863.0132334761,51176.71191012849
[0.1],[0.1],[362.22736617],0.2538080572739205,12.32594084739685,155.08592441385682,208.95087438639464,0.24856754648193785,74.374289143927,14.148219874809604,4.190000000000001,0.1880283434112,18.5262482182208,-120023.50367618023,39.46310720000001,35.516796480000004
[131.37411451],[475.90399172],[274.99925352],0.6691219968373019,10.054115533828735,155.08592441385682,208.95087438639464,0.24856754648193785,74.374289143927,15919.60559717164,5895.922667405947,211.69949680336282,22027.22776138095,-295850.05458213226,31772.75973670368,28577.282004192584
[347.78491211],[786.44488607],[164.80647027],1.069976595904433,10.485281705856323,155.08592441385682,208.95087438639464,0.24856754648193785,74.374289143927,18579.06291163815,14572.187817586057,242.8560747225674,33394.10680394677,-412418.64753415465,28983.514504755618,26065.272154596812
[98.80776258],[349.02005883],[119.00012203],0.7191645358746438,10.013643741607666,155.08592441385682,208.95087438639464,0.24856754648193785,74.374289143927,12199.632535518878,4391.294756168421,162.2286092768544,16753.155900964157,-189954.04238332275,24620.247254846265,22144.700964884258
[332.9759083],[356.58348363],[137.86124818],0.48454666215374625,10.128746271133423,155.08592441385682,208.95087438639464,0.24856754648193785,74.374289143927,12198.49516614328,12530.696939644811,159.91539931160992,24889.107505099702,-233988.75238300467,61305.555066982684,55180.233993226684
