ESS_power,ESS_capacity,fitness_function,Time,std_ESS_power,std_ESS_capacity,std_fitness_function,Charge_cost,Fixed_OnM,Variable_OnM,Combined_cost_charge,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
[0.1],[0.1],0.2538080572739205,275.6479938030243,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,[-53.8],39.46310720000001,35.516796480000004
[0.1],[0.1],0.2538080572739205,270.1695656776428,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,[-53.8],39.46310720000001,35.516796480000004
[0.1],[0.1],0.2538080572739205,269.30524611473083,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,[-53.8],39.46310720000001,35.516796480000004
[0.1],[0.1],0.2538080572739205,265.00884318351746,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,[-53.8],39.46310720000001,35.516796480000004
[0.1],[0.1],0.2538080572739205,259.6182243824005,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,[-53.8],39.46310720000001,35.516796480000004
[0.1],[0.1],0.2538080572739205,257.93228244781494,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,[-53.8],39.46310720000001,35.516796480000004
[0.1],[0.1],0.2538080572739205,258.8613028526306,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,[-53.8],39.46310720000001,35.516796480000004
[0.1],[0.1],0.2538080572739205,253.46743392944336,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,[-53.8],39.46310720000001,35.516796480000004
[0.1],[0.1],0.2538080572739205,3462.768769264221,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,[-53.8],39.46310720000001,35.516796480000004
[0.1],[0.1],0.2538080572739205,302.5117926597595,0.0,0.0,0.0,14.148219874809604,4.19,0.1880283434112,18.5262482182208,[-53.8],39.46310720000001,35.516796480000004
