ESS_power,ESS_capacity,fitness_function,Time,std_ESS_power,std_ESS_capacity,std_fitness_function,Charge_cost,Fixed_OnM,Variable_OnM,Combined_cost_charge,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
0.1,0.1,0.253808057,70.02875614,0,0,0,14.14821987,4.19,0.188028343,18.52624822,[-53.8],39.4631072,35.51679648
0.1,0.1,0.253808057,67.1569531,0,0,0,14.14821987,4.19,0.188028343,18.52624822,[-53.8],39.4631072,35.51679648
0.1,0.1,0.253808057,65.48179054,0,0,0,14.14821987,4.19,0.188028343,18.52624822,[-53.8],39.4631072,35.51679648
0.1,0.1,0.253808057,66.17324376,0,0,0,14.14821987,4.19,0.188028343,18.52624822,[-53.8],39.4631072,35.51679648
0.1,0.1,0.253808057,67.19878864,0,0,0,14.14821987,4.19,0.188028343,18.52624822,[-53.8],39.4631072,35.51679648
0.1,0.1,0.253808057,65.85799861,0,0,0,14.14821987,4.19,0.188028343,18.52624822,[-53.8],39.4631072,35.51679648
0.1,0.1,0.253808057,65.06972885,0,0,0,14.14821987,4.19,0.188028343,18.52624822,[-53.8],39.4631072,35.51679648
0.1,0.1,0.253808057,65.06370807,0,0,0,14.14821987,4.19,0.188028343,18.52624822,[-53.8],39.4631072,35.51679648
0.1,0.1,0.253808057,63.6783843,0,0,0,14.14821987,4.19,0.188028343,18.52624822,[-53.8],39.4631072,35.51679648
0.1,0.1,0.253808057,71.06006932,0,0,0,14.14821987,4.19,0.188028343,18.52624822,[-53.8],39.4631072,35.51679648
