ESS_power,ESS_capacity,fitness_function,Time,std_ESS_power,std_ESS_capacity,std_fitness_function,Charge_cost,Fixed_OnM,Variable_OnM,Combined_cost_charge,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
[254.90640169],[791.92903201],1.228974305,9.683590412,131.949021,245.1939999,0.349083036,13986.74895,10801.44544,186.1092392,24974.30363,[-346148.85183106],15871.5969,14249.53473
[250.37263374],[481.93257707],0.754326475,8.535667896,131.949021,245.1939999,0.349083036,14784.4674,8486.389032,195.7033924,23466.55983,[-224823.60689585],46099.51254,41463.37579
[338.40428531],[153.33208698],0.335507153,7.941580772,131.949021,245.1939999,0.349083036,20130.31346,14170.49071,267.5347772,34568.33894,[-110031.40590702],56149.79849,50534.81865
[167.02520701],[567.09763642],0.818747705,7.696635723,131.949021,245.1939999,0.349083036,16100.68743,7100.018015,214.130374,23414.83582,[-245567.75089613],29698.13273,26706.08561
[364.34333567],[156.86806021],0.343332448,7.825683832,131.949021,245.1939999,0.349083036,21849.78526,15147.37684,290.3868061,37287.54891,[-115267.33738105],60945.94811,54851.35329
[547.37888986],[153.51412564],0.427472361,7.933294058,131.949021,245.1939999,0.349083036,17233.79419,21287.71853,229.0396172,38750.55233,[-141197.67650985],48070.49194,43263.44274
[87.80174371],[82.96323572],0.257755774,7.697711945,131.949021,245.1939999,0.349083036,10852.7815,3985.719738,144.2350358,14982.73628,[-45354.1908067],30271.83336,27244.65002
[421.00205184],[689.19164173],1.194914827,8.713808298,131.949021,245.1939999,0.349083036,13467.34408,16876.00801,177.6375982,30520.98969,[-330878.49227625],49741.07919,44741.71337
[154.40367258],[152.9064147],0.25447087,7.693106651,131.949021,245.1939999,0.349083036,20995.15673,6421.253927,279.0232368,27695.4339,[-82486.44308046],58560.97918,52704.88126
[207.70488142],[409.17094671],0.602130746,7.841596365,131.949021,245.1939999,0.349083036,11012.77441,8632.95776,146.4557182,19792.18788,[-190155.81881699],21470.5967,19310.14546
