Algorithm,ESS_power,ESS_capacity,fitness_function,cost_charge,cost_O_n_M_fixed,cost_O_n_m_variable,Cashflow_total,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
GA,255.40459352023151,837.162092057485,0.2260143459454434,113348.7580981568,10701.4524684977,1430.3178435217224,125480.52841017624,-363827.68974458356,331555.67388457723,2930979.1875445126
FF,0.1,0.1,0.24804693275989254,14.573448913760002,4.19,0.1932423009408,18.956691214700804,-53.800000000000004,40.557404800000015,395.98832160000006
