Algorithm,ESS_power,ESS_capacity,fitness_function,profit_kWh,profit_peak_kW,cost_charge,cost_O_n_M_fixed,cost_O_n_m_variable,Cashflow_total,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
GA,0.936398189,5.723847789,-2187.9760471751715,687.219767269664,302.4318871471783,-679.8355808880751,-39.2350841191,-8.71985590212311,261.86113350754397,-2367.057610002,2047.9376514693868,1678.0641299366032
FF,0.1,0.1,-54.19618542419676,14.412873751531203,3.91553802816924,-14.573448913760002,-4.19,-0.1932423009408,-0.6282794350003611,-53.800000000000004,40.557404800000015,36.50166432
