Algorithm,ESS_power,ESS_capacity,ELH_power,fitness_function,cost_charge,cost_O_n_M_fixed,cost_O_n_m_variable,Cost_total,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
GA,306.8191138,1002.768541,462.7284458,0.2313174040010726,131760.34139110797,12855.720868220002,1665.9427401007629,146282.00499942873,-282676.53904168005,386330.7546833232,3413817.0903704157
FF,0.1,0.1,0.1,0.2538080572739205,14.148219874809604,4.19,0.1880283434112,18.5262482182208,-20.680000000000007,39.46310720000001,385.30398239999994
