Algorithm,ESS_power,ESS_capacity,ELH_power,fitness_function,profit_kWh,profit_peak_kW,profit_saved_gas_heating_total,Saved_cost_heating,heating_cost_electricity,cost_charge,cost_O_n_M_fixed,cost_O_n_m_variable,OPEX_ELH,Cashflow_total,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
GA,4.124476678,0.383871879,1528.215292,954982.5718085226,53.8708556415454,15.030649401692074,1243330.0233171384,2106082.670591893,-862752.6472747548,-54.31001356550405,-172.81557280820002,-0.7217879349051463,-22923.229380000008,1220247.8480678732,505381.7796454068,151.4877711204243,136.33899400838186
FF,291.5609956,382.1571782,1018.591381,777334.0254344465,53407.2930458511,117274.94680103833,1224137.042771523,2071691.2081374226,-847554.1653658996,-58319.108848055905,-12216.40571564,-711.5731998903673,-15278.870714999995,1308293.324139826,145237.61548647995,150512.56150153305,135461.3053513797
