Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1040570,-,-,-,35.09,-81.06,-5,191,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,6,30,0,0,0,7,7,990,100,43.1,0.4,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,7,30,0,0,0,7,7,990,100,50.9,0.5,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,8,30,0,34,34,7,7,990,100,35.2,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,9,30,0,85,85,7,8,1000,98.92,359.4,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,10,30,0,122,122,8,8,990,100,355.7,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,11,30,0,28,28,9,9,990,100,4.8,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,12,30,0,146,146,10,11,990,93.63,20.4,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,13,30,0,91,91,10,12,990,91.67,28.1,0.5,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,14,30,0,66,66,11,12,990,93.79,39.4,0.5,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,15,30,0,43,43,11,11,990,100,63.8,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,16,30,0,17,17,9,10,990,100,70.5,0.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
