Electricty [kW],Heating demand [kW]
717.3285065,850.4993619
669.5188612,891.1501469
599.6884202,1003.367351
518.9219405,1038.962429
425.7980862,1041.382581
427.8090656,1214.718076
393.8688809,1133.806407
388.0589276,1121.703173
386.1254278,1117.864782
405.782941,1135.868566
458.0427488,1129.671224
555.9319666,1196.831965
512.8473932,1093.469481
435.8327148,973.2397504
419.3159228,917.4627007
396.6445839,800.1547423
376.0159612,724.4723659
362.5957612,686.7369581
373.3615778,727.7269779
370.9896298,651.6940306
430.3006029,665.5381381
556.9575864,717.3453301
661.5615089,716.2879818
718.6527356,746.8886041
701.756855,781.1646134
649.3949598,801.6589989
564.6090795,847.6691498
481.0732078,871.0704387
394.0489844,893.8052932
363.6282529,926.2876389
350.0011388,936.9992814
348.1721078,943.7282064
355.023447,977.5222505
370.5098552,975.4681486
423.1194844,964.0646782
522.2221986,1025.818019
490.9517227,963.3565972
418.5996925,850.56044
403.6712354,795.7197472
384.5912408,692.6450881
363.0312793,617.6191159
337.7877091,531.7677823
326.0176053,477.4073361
328.2858916,424.1184905
383.7748344,422.1023506
517.6269494,506.5050252
619.9272529,496.3494446
678.8547012,535.2545311
665.4943081,584.6333045
619.6530213,633.3215094
542.1548295,719.2685429
462.7211785,774.0700117
365.1741004,766.1797176
336.8331243,807.9294095
331.4986499,855.4298879
337.1197331,895.204558
335.5727515,891.6578873
346.0339144,867.3011768
393.1963563,831.7816308
488.230286,875.6079457
458.5582179,820.2766567
401.0337947,773.2907059
396.5381955,764.7228059
377.1379851,660.2156328
363.5490909,620.6221877
349.2808832,583.4640873
341.156252,545.3028904
354.0773206,539.3385083
403.9147126,512.2063218
514.7106791,494.3762198
616.2112836,480.8381215
668.6975443,491.2576137
644.2984719,491.7158446
587.8137516,493.2405118
509.7045413,576.8704217
443.0816065,688.8168338
353.2304113,721.9278823
315.7086707,720.1267696
299.0682006,716.0612548
298.2930688,726.2489673
301.0897039,743.4535395
330.7446734,805.8903188
396.1103333,857.8400876
471.8564351,826.6357183
448.8635014,812.4525708
380.2774065,729.2124031
386.8822183,775.956931
390.5550654,775.2792986
373.4045714,714.7282385
348.2203669,624.5879304
337.8511614,571.7253642
329.9094339,470.7887505
380.7825128,447.0409406
503.9877966,483.75404
604.839894,466.0683275
661.0897177,493.1051638
644.8158469,530.3053172
596.1343319,567.2783816
509.2437926,604.0980631
426.9113022,632.9509413
343.4604025,678.4993125
312.5827757,706.2963594
301.1589883,725.4424914
299.0261382,729.5556249
300.1177174,739.1671166
315.4484417,737.9343279
366.8791705,728.0412261
458.3415923,766.9365308
404.9908156,617.7412109
327.2649682,493.8280561
308.142394,426.1662644
289.2883643,325.2822709
273.289136,269.8041772
257.3965734,220.817931
243.7385738,153.1209426
255.1055613,138.0022261
317.4634192,165.4019176
445.3415447,222.9699959
557.1011056,253.9196563
617.065053,297.566567
595.3576181,310.633208
543.5751976,333.8695338
462.487582,396.6250682
378.1490363,416.5715049
284.6345589,417.3095299
251.0750178,433.2075132
245.4566239,478.3538866
238.3399026,460.3330032
238.5388442,465.9923946
256.892045,478.3227513
319.5721669,518.6155351
398.5310264,501.7879203
371.5965338,470.0481976
310.2249393,418.7500522
302.8728742,403.3992309
292.2797562,339.1556404
276.5862826,284.9348172
260.8603443,236.6131894
254.1137639,199.662889
273.0115342,218.1509293
338.1102303,257.7871933
462.1537819,298.2889959
577.7689427,346.4578376
634.4964736,375.6700983
620.399375,422.6597586
576.0654991,479.0926692
493.6364336,535.866231
409.3278606,555.960758
328.5335319,613.435646
305.3516138,675.5369548
300.8863386,725.6254361
297.8870784,725.8178925
303.2428949,754.4048891
316.4175817,743.4858112
388.1044178,823.8652895
468.0326834,811.2077857
418.3574503,678.1225725
336.1745351,534.224742
314.6777619,455.9335552
305.532984,398.2333966
283.0645899,313.8331011
269.4874674,275.136702
266.4761461,254.8703465
269.9789774,204.635567
330.0040715,221.6811476
452.6178227,255.8213905
557.6273075,256.666153
618.4260968,304.0887751
603.8085529,348.7863963
553.7843252,379.8781815
465.7615824,411.7552822
384.7454889,446.5641967
296.2577517,469.7437942
264.3288422,492.9364986
246.2518162,482.4608849
242.5898295,479.7593678
242.5742095,484.5239156
257.0953636,479.7197487
306.1398877,459.1723885
397.497143,497.7504267
364.1322481,437.2686569
306.2532647,401.4988821
297.4371597,379.6106069
296.6550596,359.1140874
271.9790694,264.7037538
248.6950132,182.5624254
239.2694288,133.598094
247.6281677,104.9826049
302.8595724,100.5827067
423.3451246,125.2927895
530.9612533,137.8337603
596.2283784,205.3381828
571.4431758,204.6767701
535.0234992,296.6415036
441.5674745,304.2746092
359.1540248,332.8984659
275.1069629,369.1175331
243.4243541,396.17557
230.8588472,411.6920007
233.5694112,438.7709276
238.3890942,463.6972282
254.5392469,464.6014374
326.9221403,541.433002
398.8167956,481.994382
359.7102527,384.1215066
294.3551721,301.7711773
282.108585,258.3668507
