homeid,notification_date,provenancedetail,energytype,daily_standing_charge_pence,unit_charge_pence_per_kwh
97,02/03/2017,in_app,gas,0,3.75
98,02/03/2017,primary_facetoface_initial,electricity,27.85,
98,02/03/2017,primary_facetoface_initial,gas,29.8,
99,07/03/2017,primary_facetoface_initial,electricity,20.66,12.13
99,07/03/2017,in_app,electricity,21,12.13
99,07/03/2017,primary_facetoface_initial,gas,21.75,2.15
99,07/03/2017,in_app,gas,22,2.15
100,25/05/2017,in_app,electricity,27,16.09
100,25/05/2017,in_app,electricity,28,16.89
100,25/05/2017,in_app,electricity,13,2.65
100,25/05/2017,in_app,gas,27,4.87
100,25/05/2017,in_app,gas,8,9.4
101,09/03/2017,primary_facetoface_initial,gas,3.19,
101,30/03/2017,in_app,electricity,5,11.97
101,30/03/2017,in_app,electricity,18,11.97
101,30/03/2017,in_app,gas,5,3.19
101,30/03/2017,in_app,gas,17,3.19
102,09/03/2017,primary_facetoface_initial,electricity,17.24,
102,09/03/2017,primary_facetoface_initial,gas,23,
102,11/09/2017,in_app,electricity,17,17.07
102,11/09/2017,in_app,gas,23,4.31
102,04/10/2017,in_app,gas,22,3.92
105,31/12/2017,in_app,electricity,14,13.32
105,31/12/2017,in_app,gas,14,2.75
106,23/05/2017,in_app,electricity,26,13.39
106,23/05/2017,in_app,gas,27,4.18
106,23/05/2017,in_app,gas,26,3.98
106,23/01/2018,in_app,electricity,25,12.25
106,23/01/2018,in_app,gas,25,2.47
107,04/04/2017,in_app,electricity,5,13.03
107,04/04/2017,in_app,gas,5,3.77
109,20/04/2017,in_app,electricity,17,13.66
109,20/04/2017,in_app,gas,22,3.3
110,18/04/2017,in_app,electricity,18,11.42
110,18/04/2017,in_app,electricity,19,11.99
110,18/04/2017,in_app,gas,26,2.42
113,20/06/2017,in_app,electricity,21,12.86
113,20/06/2017,in_app,gas,19,2.75
114,16/06/2017,in_app,electricity,15,16.39
114,16/06/2017,in_app,gas,15,3.94
114,18/12/2017,in_app,electricity,15,15.48
114,18/12/2017,in_app,gas,15,3.72
115,15/12/2017,in_app,gas,23,3.83
115,04/01/2018,in_app,gas,24,4.02
117,20/06/2017,in_app,electricity,20,10.68
117,20/06/2017,in_app,gas,20,2.35
118,01/07/2017,in_app,electricity,11,12.23
118,01/07/2017,in_app,gas,11,3.69
120,24/06/2017,in_app,electricity,17,13.33
120,24/06/2017,in_app,electricity,16,12.7
120,24/06/2017,in_app,gas,22,3.13
120,04/07/2017,in_app,electricity,16,12.7
120,04/07/2017,in_app,gas,23,17.24
120,07/11/2017,in_app,electricity,17,13.33
120,07/11/2017,in_app,gas,23,3.29
121,15/06/2017,in_app,electricity,27,15
121,15/06/2017,in_app,gas,27,3.84
121,09/11/2017,in_app,electricity,27,15
121,09/11/2017,in_app,gas,27,3.84
121,22/05/2018,in_app,electricity,16,14.17
121,22/05/2018,in_app,gas,22,2.83
123,21/06/2017,in_app,electricity,16,13.46
123,21/06/2017,in_app,gas,16,3.94
126,18/09/2017,in_app,electricity,27,9.25
126,18/09/2017,in_app,electricity,27,18.94
126,18/09/2017,in_app,electricity,26,27
126,18/09/2017,in_app,gas,26,3.75
128,22/06/2017,in_app,gas,16,3.94
128,29/07/2017,in_app,electricity,17,4.14
133,11/07/2017,in_app,electricity,27,3.62
133,11/07/2017,in_app,electricity,27,15
133,11/07/2017,in_app,gas,27,3.62
134,14/08/2017,in_app,electricity,23,3.38
134,14/08/2017,in_app,electricity,16,12.7
134,14/08/2017,in_app,gas,22,3.22
136,29/06/2017,in_app,electricity,17,12.43
136,29/06/2017,in_app,gas,17,2.56
137,03/07/2017,in_app,electricity,8,16.86
137,03/07/2017,in_app,gas,8,3.86
138,08/07/2017,in_app,electricity,6,11.88
138,08/07/2017,in_app,gas,6,3.42
139,07/07/2017,in_app,electricity,26,13.98
139,07/07/2017,in_app,gas,23,3.71
143,06/07/2017,in_app,electricity,28,15.75
143,06/07/2017,in_app,electricity,28,3.23
143,06/07/2017,in_app,gas,28,3.23
143,10/07/2017,in_app,electricity,28,15.75
143,10/07/2017,in_app,gas,27,3.08
145,10/07/2017,in_app,electricity,25,12.26
145,10/07/2017,in_app,gas,25,2.47
146,24/08/2017,in_app,electricity,42,10.35
146,24/08/2017,in_app,electricity,40,9.86
146,24/08/2017,in_app,gas,2,2.36
147,20/07/2017,in_app,electricity,20,15.98
147,20/07/2017,in_app,gas,24,3.31
147,20/07/2017,in_app,gas,23,3.15
147,30/10/2017,in_app,electricity,25,12.25
147,30/10/2017,in_app,electricity,23,11.67
147,30/10/2017,in_app,gas,25,2.47
147,07/11/2017,in_app,electricity,24,17.54
147,07/11/2017,in_app,electricity,24,12.25
147,07/11/2017,in_app,gas,24,3.47
147,07/11/2017,in_app,gas,24,2.47
150,02/12/2017,in_app,electricity,26,12.87
150,02/12/2017,in_app,gas,26,2.59
151,14/07/2017,in_app,electricity,26,12.46
151,14/07/2017,in_app,gas,26,3.75
152,20/07/2017,in_app,electricity,19,12.58
152,20/07/2017,in_app,gas,24,2.64
153,19/07/2017,in_app,electricity,25,12.26
153,19/07/2017,in_app,gas,25,2.47
153,15/01/2018,in_app,electricity,25,12.25
155,21/07/2017,in_app,electricity,0,16.51
155,21/07/2017,in_app,gas,0,4.92
155,22/07/2017,in_app,electricity,14,17.34
155,22/07/2017,in_app,electricity,14,17.77
155,22/07/2017,in_app,gas,14,5.17
157,11/08/2017,in_app,electricity,17,13.65
157,11/08/2017,in_app,gas,17,13.65
157,11/08/2017,in_app,gas,23,3.98
159,25/07/2017,in_app,electricity,10,11.19
159,25/07/2017,in_app,electricity,19,2.47
159,25/07/2017,in_app,gas,26,2.46
160,26/07/2017,in_app,electricity,28,16.58
160,04/09/2017,in_app,gas,26,3.75
161,26/07/2017,in_app,electricity,13,9.87
161,26/07/2017,in_app,gas,8,2.78
162,14/08/2017,in_app,electricity,13,9.87
162,14/08/2017,in_app,gas,9,2.92
162,20/11/2017,in_app,electricity,17,14.02
162,20/11/2017,in_app,electricity,16,13.36
162,20/11/2017,in_app,gas,22,2.74
163,15/08/2017,in_app,electricity,16,10.83
163,15/08/2017,in_app,gas,17,2.56
164,27/07/2017,in_app,electricity,2,12.92
164,27/07/2017,in_app,electricity,23,12.92
164,27/07/2017,in_app,gas,22,2.88
165,05/08/2017,in_app,electricity,26,13.39
165,05/08/2017,in_app,electricity,26,13.34
165,05/08/2017,in_app,gas,26,3.98
165,05/08/2017,in_app,gas,25,3.98
166,27/07/2017,in_app,electricity,16,13.46
166,27/07/2017,in_app,gas,16,3.94
167,25/08/2016,primary_facetoface_initial,electricity,23.02,
168,12/01/2018,in_app,electricity,14,14.19
168,12/01/2018,in_app,gas,7,3.37
169,02/08/2017,in_app,electricity,27,14.92
169,02/08/2017,in_app,gas,26,3.75
169,10/11/2017,in_app,electricity,16,13.36
169,10/11/2017,in_app,gas,22,2.74
170,09/08/2017,in_app,gas,16,4.08
170,09/08/2017,in_app,gas,17,3.86
170,11/08/2017,in_app,electricity,17,16.09
171,03/08/2017,in_app,electricity,22,14
171,03/08/2017,in_app,gas,20,2.87
173,08/08/2017,in_app,electricity,22,8.92
173,08/08/2017,in_app,gas,22,2.56
174,14/08/2017,in_app,electricity,25,13.35
174,14/08/2017,in_app,gas,25,2.66
175,21/08/2017,in_app,electricity,19,12.29
175,21/08/2017,in_app,gas,20,2.94
175,21/08/2017,in_app,gas,19,2.8
176,21/08/2017,in_app,electricity,25,12.26
176,21/08/2017,in_app,gas,25,2.47
177,24/08/2017,in_app,electricity,15,16.39
177,24/08/2017,in_app,gas,15,3.94
