charge,discharge,capacity,Energy_use,Average_daily_cost,Energy_hourly_cost,Charge_or_discharge
10.530239249596182,0.0,831.7086883781636,635.1803207,0.031966,0.03124,Charge+++++
10.530239249596182,0.0,841.1859037028001,694.6018299,0.031966,0.030987000000000004,Charge+++++
10.530239249596182,0.0,850.6631190274367,654.9534385,0.031966,0.030833000000000006,Charge+++++
10.530239249596182,0.0,860.1403343520732,601.6675168,0.031966,0.030800000000000004,Charge+++++
10.530239249596182,0.0,869.6175496767097,520.8430075,0.031966,0.030822000000000002,Charge+++++
10.530239249596182,0.0,879.0947650013462,451.2194334,0.031966,0.030954000000000006,Charge+++++
10.530239249596182,0.0,888.5719803259827,388.7931939,0.031966,0.031141000000000002,Charge+++++
10.530239249596182,0.0,898.0491956506193,372.2268004,0.031966,0.030899000000000003,Charge+++++
10.530239249596182,0.0,907.5264109752558,345.5514778,0.031966,0.030503000000000002,Charge+++++
10.530239249596182,0.0,917.0036262998923,362.8496416,0.031966,0.031108000000000004,Charge+++++
10.530239249596182,0.0,926.4808416245288,371.611103,0.031966,0.031196,Charge+++++
10.530239249596182,0.0,935.9580569491653,389.4687203,0.031966,0.031372000000000004,Charge+++++
10.530239249596182,0.0,945.4352722738018,456.59156,0.031966,0.031361,Charge+++++
10.530239249596182,0.0,954.9124875984384,532.4160642,0.031966,0.031614,Charge+++++
0.0,9.477215324636564,944.3822483488422,508.3262571,0.031966,0.032626,Discharge-----
0.0,9.477215324636564,933.852009099246,428.8484229,0.031966,0.033417999999999996,Discharge-----
0.0,9.477215324636564,923.3217698496497,408.9204218,0.031966,0.03388,Discharge-----
0.0,9.477215324636564,912.7915306000535,381.2270718,0.031966,0.034023000000000005,Discharge-----
0.0,9.477215324636564,902.2612913504573,355.4751779,0.031966,0.033858000000000006,Discharge-----
0.0,9.477215324636564,891.7310521008611,357.7066378,0.031966,0.03356100000000001,Discharge-----
0.0,9.477215324636564,881.2008128512649,352.4471705,0.031966,0.033209,Discharge-----
0.0,9.477215324636564,870.6705736016687,355.2710825,0.031966,0.032934000000000005,Discharge-----
0.0,9.477215324636564,860.1403343520725,399.7040185,0.031966,0.032615000000000005,Discharge-----
0.0,9.477215324636564,849.6100951024763,502.3559435,0.031966,0.032296000000000005,Discharge-----
10.530239249596182,0.0,859.0873104271128,634.2627189,0.036806000000000005,0.03234,Charge+++++
10.530239249596182,0.0,868.5645257517493,694.1354113,0.036806000000000005,0.031801,Charge+++++
10.530239249596182,0.0,878.0417410763858,679.4077974,0.036806000000000005,0.030921,Charge+++++
10.530239249596182,0.0,887.5189564010224,627.8545175,0.036806000000000005,0.031064,Charge+++++
10.530239249596182,0.0,896.9961717256589,535.1909435,0.036806000000000005,0.031933,Charge+++++
10.530239249596182,0.0,906.4733870502954,451.2150221,0.036806000000000005,0.033473,Charge+++++
10.530239249596182,0.0,915.9506023749319,363.2519226,0.036806000000000005,0.03613500000000001,Charge+++++
0.0,9.477215324636564,905.4203631253357,339.3946162,0.036806000000000005,0.037301,Discharge-----
0.0,9.477215324636564,894.8901238757395,316.0991349,0.036806000000000005,0.038357,Discharge-----
0.0,9.477215324636564,884.3598846261433,307.049272,0.036806000000000005,0.038742000000000006,Discharge-----
0.0,9.477215324636564,873.8296453765471,306.132309,0.036806000000000005,0.038951,Discharge-----
0.0,9.477215324636564,863.2994061269509,321.6310378,0.036806000000000005,0.038577,Discharge-----
0.0,9.477215324636564,852.7691668773547,382.8902061,0.036806000000000005,0.038335,Discharge-----
0.0,9.477215324636564,842.2389276277585,457.2472578,0.036806000000000005,0.03817,Discharge-----
0.0,9.477215324636564,831.7086883781623,437.2480526,0.036806000000000005,0.03828,Discharge-----
0.0,9.477215324636564,821.1784491285661,384.3435822,0.036806000000000005,0.039523,Discharge-----
0.0,9.477215324636564,810.6482098789699,372.3755762,0.036806000000000005,0.04127200000000001,Discharge-----
0.0,9.477215324636564,800.1179706293736,354.7964917,0.036806000000000005,0.042328000000000005,Discharge-----
0.0,9.477215324636564,789.5877313797774,331.7350784,0.036806000000000005,0.04056800000000001,Discharge-----
0.0,9.477215324636564,779.0574921301812,319.1035683,0.036806000000000005,0.03907200000000001,Discharge-----
0.0,8.571354031571195,769.5337654284355,315.0680472,0.036806000000000005,0.038753,Discharge-----
0.0,0.0,769.5337654284355,328.7878033,0.036806000000000005,0.038214000000000005,Discharge-----
10.530239249596182,0.0,779.010980753072,389.1411821,0.036806000000000005,0.03515600000000001,Charge+++++
10.530239249596182,0.0,788.4881960777085,532.2009702,0.036806000000000005,0.033979,Charge+++++
10.530239249596182,0.0,797.965411402345,642.7675858,0.03601400000000001,0.033715,Charge+++++
10.530239249596182,0.0,807.4426267269815,708.5730209,0.03601400000000001,0.033407000000000006,Charge+++++
10.530239249596182,0.0,816.919842051618,693.9138754,0.03601400000000001,0.033165,Charge+++++
10.530239249596182,0.0,826.3970573762546,651.2432522,0.03601400000000001,0.033154,Charge+++++
10.530239249596182,0.0,835.8742727008911,566.2216051,0.03601400000000001,0.033440000000000004,Charge+++++
10.530239249596182,0.0,845.3514880255276,485.8338565,0.03601400000000001,0.033825,Charge+++++
0.0,9.477215324636564,834.8212487759314,396.9873385,0.03601400000000001,0.03685000000000001,Discharge-----
0.0,9.477215324636564,824.2910095263352,368.387328,0.03601400000000001,0.03938,Discharge-----
0.0,9.477215324636564,813.760770276739,351.3782577,0.03601400000000001,0.040458,Discharge-----
0.0,9.477215324636564,803.2305310271428,350.3099582,0.03601400000000001,0.039787,Discharge-----
0.0,9.477215324636564,792.7002917775466,347.7949997,0.03601400000000001,0.03894,Discharge-----
0.0,9.477215324636564,782.1700525279504,357.8807683,0.03601400000000001,0.038412,Discharge-----
0.0,9.477215324636564,771.6398132783542,412.5232464,0.03601400000000001,0.037477,Discharge-----
0.0,1.8954430649268261,769.5337654284355,497.8935291,0.03601400000000001,0.037499000000000005,Discharge-----
0.0,0.0,769.5337654284355,470.6258442,0.03601400000000001,0.03767500000000001,Discharge-----
0.0,0.0,769.5337654284355,395.716442,0.03601400000000001,0.036157,Discharge-----
0.0,0.0,769.5337654284355,386.4918311,0.03601400000000001,0.038434,Discharge-----
0.0,0.0,769.5337654284355,364.1530894,0.03601400000000001,0.038049000000000006,Discharge-----
0.0,0.0,769.5337654284355,343.3985604,0.03601400000000001,0.037466000000000006,Discharge-----
10.530239249596182,0.0,779.010980753072,323.9027288,0.03601400000000001,0.035002000000000005,Charge+++++
10.530239249596182,0.0,788.4881960777085,304.8851598,0.03601400000000001,0.034980000000000004,Charge+++++
10.530239249596182,0.0,797.965411402345,305.3724492,0.03601400000000001,0.03356100000000001,Charge+++++
10.530239249596182,0.0,807.4426267269815,367.3357412,0.03601400000000001,0.032197,Charge+++++
10.530239249596182,0.0,816.919842051618,497.5709016,0.03601400000000001,0.031306,Charge+++++
10.530239249596182,0.0,826.3970573762546,609.4938772,0.03401200000000001,0.030767,Charge+++++
10.530239249596182,0.0,835.8742727008911,667.3896237,0.03401200000000001,0.030745,Charge+++++
10.530239249596182,0.0,845.3514880255276,659.479292,0.03401200000000001,0.030536000000000004,Charge+++++
10.530239249596182,0.0,854.8287033501641,618.9612646,0.03401200000000001,0.030525000000000004,Charge+++++
10.530239249596182,0.0,864.3059186748006,528.9497217,0.03401200000000001,0.030371000000000002,Charge+++++
10.530239249596182,0.0,873.7831339994372,451.3540636,0.03401200000000001,0.030657000000000004,Charge+++++
10.530239249596182,0.0,883.2603493240737,361.1378535,0.03401200000000001,0.03181200000000001,Charge+++++
10.530239249596182,0.0,892.7375646487102,335.8871097,0.03401200000000001,0.033715,Charge+++++
0.0,9.477215324636564,882.207325399114,332.0227245,0.03401200000000001,0.034309000000000006,Discharge-----
0.0,9.477215324636564,871.6770861495178,324.2278143,0.03401200000000001,0.034309000000000006,Discharge-----
0.0,9.477215324636564,861.1468468999216,320.3674434,0.03401200000000001,0.034375,Discharge-----
0.0,9.477215324636564,850.6166076503254,336.07509,0.03401200000000001,0.037323,Discharge-----
0.0,9.477215324636564,840.0863684007292,390.8176691,0.03401200000000001,0.03523300000000001,Discharge-----
0.0,9.477215324636564,829.556129151133,457.654289,0.03401200000000001,0.034661000000000004,Discharge-----
0.0,9.477215324636564,819.0258899015367,425.9434205,0.03401200000000001,0.035254999999999995,Discharge-----
0.0,9.477215324636564,808.4956506519405,351.1359938,0.03401200000000001,0.036047,Discharge-----
0.0,9.477215324636564,797.9654114023443,326.8700492,0.03401200000000001,0.035254999999999995,Discharge-----
0.0,9.477215324636564,787.4351721527481,303.2845549,0.03401200000000001,0.035222,Discharge-----
0.0,9.477215324636564,776.9049329031519,284.6745314,0.03401200000000001,0.035244000000000004,Discharge-----
0.0,6.634050727244812,769.5337654284355,270.5790234,0.03401200000000001,0.037950000000000005,Discharge-----
0.0,0.0,769.5337654284355,260.7149881,0.03401200000000001,0.03727900000000001,Discharge-----
0.0,0.0,769.5337654284355,274.3941335,0.03401200000000001,0.035959,Discharge-----
0.0,0.0,769.5337654284355,336.4762363,0.03401200000000001,0.035254999999999995,Discharge-----
10.530239249596182,0.0,779.010980753072,465.8599858,0.03401200000000001,0.03348400000000001,Charge+++++
10.530239249596182,0.0,788.4881960777085,573.2429059,0.047817000000000005,0.03356100000000001,Charge+++++
10.530239249596182,0.0,797.965411402345,636.4123843,0.047817000000000005,0.033253000000000005,Charge+++++
10.530239249596182,0.0,807.4426267269815,624.6375755,0.047817000000000005,0.033,Charge+++++
10.530239249596182,0.0,816.919842051618,583.4407125,0.047817000000000005,0.033066000000000005,Charge+++++
10.530239249596182,0.0,826.3970573762546,503.0327834,0.047817000000000005,0.033671,Charge+++++
10.530239249596182,0.0,835.8742727008911,424.6256018,0.047817000000000005,0.03510100000000001,Charge+++++
10.530239249596182,0.0,845.3514880255276,338.9008583,0.047817000000000005,0.036201,Charge+++++
10.530239249596182,0.0,854.8287033501641,309.8426729,0.047817000000000005,0.046277000000000006,Charge+++++
10.530239249596182,0.0,864.3059186748006,303.2987982,0.047817000000000005,0.047718,Charge+++++
10.530239249596182,0.0,873.7831339994372,307.4649988,0.047817000000000005,0.04624400000000001,Charge+++++
10.530239249596182,0.0,883.2603493240737,308.3599679,0.047817000000000005,0.047344000000000004,Charge+++++
0.0,9.477215324636564,872.7301100744775,325.3652957,0.047817000000000005,0.048994,Discharge-----
0.0,9.477215324636564,862.1998708248813,394.0346319,0.047817000000000005,0.049016000000000004,Discharge-----
0.0,9.477215324636564,851.669631575285,470.2687015,0.047817000000000005,0.049126,Discharge-----
0.0,9.477215324636564,841.1393923256888,446.0037021,0.047817000000000005,0.049489000000000005,Discharge-----
0.0,9.477215324636564,830.6091530760926,390.0691138,0.047817000000000005,0.06171000000000001,Discharge-----
0.0,9.477215324636564,820.0789138264964,385.4136223,0.047817000000000005,0.07667,Discharge-----
0.0,9.477215324636564,809.5486745769002,373.8983875,0.047817000000000005,0.08131200000000001,Discharge-----
0.0,9.477215324636564,799.018435327304,364.1366151,0.047817000000000005,0.07918900000000001,Discharge-----
0.0,9.477215324636564,788.4881960777078,350.5677763,0.047817000000000005,0.055088000000000005,Discharge-----
0.0,9.477215324636564,777.9579568281116,337.6087932,0.047817000000000005,0.049379000000000006,Discharge-----
10.530239249596182,0.0,787.4351721527481,359.9352123,0.047817000000000005,0.046255,Charge+++++
10.530239249596182,0.0,796.9123874773846,417.2381316,0.047817000000000005,0.039523,Charge+++++
10.530239249596182,0.0,806.3896028020212,546.3034448,0.047817000000000005,0.036388000000000004,Charge+++++
10.530239249596182,0.0,815.8668181266577,647.6245522,0.035376,0.034452,Charge+++++
10.530239249596182,0.0,825.3440334512942,699.8613788,0.035376,0.03425400000000001,Charge+++++
10.530239249596182,0.0,834.8212487759307,679.4956339,0.035376,0.034210000000000004,Charge+++++
10.530239249596182,0.0,844.2984641005672,629.8242777,0.035376,0.034188,Charge+++++
10.530239249596182,0.0,853.7756794252037,542.9638468,0.035376,0.034210000000000004,Charge+++++
10.530239249596182,0.0,863.2528947498403,461.9728708,0.035376,0.034463,Charge+++++
10.530239249596182,0.0,872.7301100744768,379.1976216,0.035376,0.034903,Charge+++++
0.0,9.477215324636564,862.1998708248806,344.5659651,0.035376,0.037367000000000004,Discharge-----
0.0,9.477215324636564,851.6696315752844,339.7570065,0.035376,0.0374,Discharge-----
0.0,9.477215324636564,841.1393923256882,341.2656503,0.035376,0.037455,Discharge-----
0.0,9.477215324636564,830.609153076092,341.5914478,0.035376,0.038005,Discharge-----
0.0,9.477215324636564,820.0789138264958,354.2622157,0.035376,0.038038,Discharge-----
0.0,9.477215324636564,809.5486745768995,424.764138,0.035376,0.037576,Discharge-----
0.0,9.477215324636564,799.0184353273033,493.8346264,0.035376,0.037048000000000005,Discharge-----
0.0,9.477215324636564,788.4881960777071,474.9838063,0.035376,0.037268,Discharge-----
0.0,9.477215324636564,777.9579568281109,430.5401313,0.035376,0.037411,Discharge-----
10.530239249596182,0.0,787.4351721527474,429.7090605,0.035376,0.034892,Charge+++++
0.0,9.477215324636564,776.9049329031512,412.9057896,0.035376,0.03653100000000001,Discharge-----
10.530239249596182,0.0,786.3821482277878,388.5797762,0.035376,0.034067,Charge+++++
10.530239249596182,0.0,795.8593635524243,380.6911259,0.035376,0.03377,Charge+++++
10.530239249596182,0.0,805.3365788770608,373.4140765,0.035376,0.033671,Charge+++++
10.530239249596182,0.0,814.8137942016973,394.9255174,0.035376,0.033088,Charge+++++
10.530239249596182,0.0,824.2910095263338,450.4082445,0.035376,0.032791,Charge+++++
