charge,discharge,capacity,Energy_use,Average_daily_cost,Energy_hourly_cost,Charge_or_discharge,Gas_heating_needed,Gas_heating_before_ELH_installment
0.0,0.0,9.697606396069101,1266.2297775421052,0.030305000000000006,0.026673300000000004,Charge+++++,0.0,599.496984
0.0,0.0,9.697606396069101,1368.8508274789474,0.030305000000000006,0.026673300000000004,Charge+++++,0.0,640.5365477
0.0,0.0,9.697606396069101,1259.0239864999999,0.030305000000000006,0.0266622,Charge+++++,0.0,573.8670206
0.0,0.0,9.697606396069101,1223.1250229052632,0.030305000000000006,0.025740900000000004,Charge+++++,0.0,590.3846308
0.0,0.0,9.697606396069101,1209.3736797105264,0.030305000000000006,0.026751000000000004,Charge+++++,0.0,654.1041386
0.0,0.0,9.697606396069101,1229.3606912947369,0.030305000000000006,0.027761100000000004,Charge+++++,0.0,739.234195
0.0,0.0,9.697606396069101,1312.7900379,0.030305000000000006,0.028438200000000004,Charge+++++,0.0,877.7970018
0.0,0.0,9.697606396069101,1391.9877041894738,0.030305000000000006,0.028715700000000004,Charge+++++,0.0,968.7728586
0.0,0.0,9.697606396069101,1314.1104519052633,0.030305000000000006,0.0290598,Charge+++++,0.0,920.1310254
0.0,0.0,9.697606396069101,1426.343966863158,0.030305000000000006,0.0285714,Charge+++++,0.0,1010.319609
0.0,0.0,9.697606396069101,1480.814577736842,0.030305000000000006,0.029847900000000004,Charge+++++,0.0,1053.743301
0.0,6.982276605169753,1.9395212792138203,1509.0625118789476,0.030305000000000006,0.030502800000000004,Discharge-----,0.0,1063.614102
0.0,0.0,1.9395212792138203,1638.9858084210528,0.030305000000000006,0.0311244,Discharge-----,0.0,1123.274536
0.0,0.0,1.9395212792138203,1682.3527199894738,0.030305000000000006,0.031857,Discharge-----,0.0,1092.439823
0.0,0.0,1.9395212792138203,1638.1929707842105,0.030305000000000006,0.0329226,Discharge-----,0.0,1073.373378
0.0,0.0,1.9395212792138203,1420.6292113210527,0.030305000000000006,0.0337218,Discharge-----,0.0,942.191749
0.0,0.0,1.9395212792138203,1326.0521580105265,0.030305000000000006,0.034188,Discharge-----,0.0,871.2751494
0.0,0.0,1.9395212792138203,1151.4253929578947,0.030305000000000006,0.0343323,Discharge-----,0.0,731.6884051
0.0,0.0,1.9395212792138203,1022.0811514789475,0.030305000000000006,0.0341658,Discharge-----,0.0,633.2756749
0.0,0.0,1.9395212792138203,1057.6205594842106,0.030305000000000006,0.0338661,Discharge-----,0.0,664.9182256
0.0,0.0,1.9395212792138203,1020.6085829210526,0.030305000000000006,0.0335109,Discharge-----,0.0,634.7533418
0.0,0.0,1.9395212792138203,967.6937960789473,0.030305000000000006,0.0332334,Discharge-----,0.0,581.8015779
0.0,0.0,1.9395212792138203,957.1361853421054,0.030305000000000006,0.0329115,Discharge-----,0.0,529.5605585
0.0,0.0,1.9395212792138203,1002.3583177105263,0.030305000000000006,0.0325896,Discharge-----,0.0,475.0022555
7.758085116855281,0.0,9.697606396069101,1260.7746961631578,0.036795,0.032634,Charge+++++,0.0,595.1863784
0.0,0.0,9.697606396069101,1365.8175589842106,0.036795,0.0320901,Charge+++++,0.0,638.0980403
0.0,0.0,9.697606396069101,1397.2786911894736,0.036795,0.031202100000000003,Charge+++++,0.0,681.9773491
0.0,0.0,9.697606396069101,1371.1019141315792,0.036795,0.030957900000000003,Charge+++++,0.0,706.0850268
0.0,0.0,9.697606396069101,1290.116864131579,0.036795,0.0313686,Charge+++++,0.0,717.1796246
0.0,0.0,9.697606396069101,1228.7796426263158,0.036795,0.0337773,Charge+++++,0.0,738.6863895
0.0,0.0,9.697606396069101,1160.4437982842105,0.036795,0.03646350000000001,Charge+++++,0.0,757.3322819
0.0,6.982276605169753,1.9395212792138203,1201.4462306210526,0.036795,0.037640099999999996,Discharge-----,0.0,818.9490337
0.0,0.0,1.9395212792138203,1144.2360742684211,0.036795,0.0387057,Discharge-----,0.0,786.7300924
0.0,0.0,1.9395212792138203,1108.6598673684211,0.036795,0.0390942,Discharge-----,0.0,761.5300656
0.0,0.0,1.9395212792138203,1107.1754824736843,0.036795,0.0393051,Discharge-----,0.0,760.9910148
0.0,0.0,1.9395212792138203,1120.6606601157896,0.036795,0.0389277,Discharge-----,0.0,759.0781412
0.0,0.0,1.9395212792138203,1210.3855625210526,0.036795,0.0386835,Discharge-----,0.0,786.1205886
0.0,0.0,1.9395212792138203,1234.1652763263157,0.036795,0.038517,Discharge-----,0.0,738.0721176
0.0,0.0,1.9395212792138203,1201.0852568105263,0.036795,0.038628,Discharge-----,0.0,725.645344
0.0,0.0,1.9395212792138203,1120.3523490421053,0.036795,0.0398823,Discharge-----,0.0,699.2083285
0.0,0.0,1.9395212792138203,1064.3837738842105,0.036795,0.04164720000000001,Discharge-----,0.0,657.4077878
0.0,0.0,1.9395212792138203,945.215579068421,0.036795,0.0427128,Discharge-----,0.0,560.898133
0.0,0.0,1.9395212792138203,836.0749518736843,0.036795,0.04093680000000001,Discharge-----,0.0,479.1228798
0.0,0.0,1.9395212792138203,791.9292179842105,0.036795,0.03942720000000001,Discharge-----,0.0,449.1843672
0.0,0.0,1.9395212792138203,766.7218995157896,0.036795,0.0391053,Discharge-----,0.0,429.0711597
0.0,0.0,1.9395212792138203,777.8376489842105,0.036795,0.0385614,Discharge-----,0.0,426.5973534
7.758085116855281,0.0,9.697606396069101,858.7557615736841,0.036795,0.03661890000000001,Charge+++++,0.0,446.1338505
0.0,0.0,9.697606396069101,1133.6657618842105,0.036795,0.0343434,Charge+++++,0.0,571.3915521
0.0,0.0,9.697606396069101,1272.0682884315788,0.036245000000000006,0.0340215,Charge+++++,0.0,597.8356675
0.0,0.0,9.697606396069101,1410.8305180578948,0.036245000000000006,0.0337107,Charge+++++,0.0,667.1446223
0.0,0.0,9.697606396069101,1441.9622289789475,0.036245000000000006,0.0334665,Charge+++++,0.0,710.6459359
0.0,0.0,9.697606396069101,1465.248838831579,0.036245000000000006,0.0334554,Charge+++++,0.0,773.3053073
0.0,0.0,9.697606396069101,1435.4874368894737,0.036245000000000006,0.033744,Charge+++++,0.0,825.8025402
0.0,0.0,9.697606396069101,1408.3147186052634,0.036245000000000006,0.03578640000000001,Charge+++++,0.0,876.356819
0.0,6.982276605169753,1.9395212792138203,1351.7960642894736,0.036245000000000006,0.037185,Discharge-----,0.0,907.0682895
0.0,0.0,1.9395212792138203,1365.842708631579,0.036245000000000006,0.039738,Discharge-----,0.0,947.5826116
0.0,0.0,1.9395212792138203,1344.2674741210526,0.036245000000000006,0.0408258,Discharge-----,0.0,943.2447556
0.0,0.0,1.9395212792138203,1353.8662102,0.036245000000000006,0.0401487,Discharge-----,0.0,953.3784394
0.0,0.0,1.9395212792138203,1343.1765582263158,0.036245000000000006,0.039294,Discharge-----,0.0,945.6124806
0.0,0.0,1.9395212792138203,1325.9202704052632,0.036245000000000006,0.0387612,Discharge-----,0.0,919.637527
0.0,0.0,1.9395212792138203,1378.1479993473686,0.036245000000000006,0.0386391,Discharge-----,0.0,917.3435153
0.0,0.0,1.9395212792138203,1464.4328646789475,0.036245000000000006,0.0378399,Discharge-----,0.0,918.2123688
0.0,0.0,1.9395212792138203,1390.0953166210527,0.036245000000000006,0.03801750000000001,Discharge-----,0.0,873.4959988
0.0,0.0,1.9395212792138203,1184.6321588421054,0.036245000000000006,0.0383061,Discharge-----,0.0,749.469931
0.0,0.0,1.9395212792138203,1144.3080875210526,0.036245000000000006,0.0387834,Discharge-----,0.0,719.9254436
0.0,0.0,1.9395212792138203,998.2099390842105,0.036245000000000006,0.03839490000000001,Discharge-----,0.0,602.3540072
0.0,0.0,1.9395212792138203,902.2168146105264,0.036245000000000006,0.0378066,Discharge-----,0.0,530.8773415
0.0,0.0,1.9395212792138203,819.1465573263158,0.036245000000000006,0.0365523,Discharge-----,0.0,470.4816371
7.758085116855281,0.0,9.697606396069101,708.955327168421,0.036245000000000006,0.035298,Charge+++++,0.0,383.866659
0.0,0.0,9.697606396069101,644.9731016210526,0.036245000000000006,0.0338661,Charge+++++,0.0,322.6206198
0.0,0.0,9.697606396069101,735.1108727789474,0.036245000000000006,0.0324897,Charge+++++,0.0,349.386375
0.0,0.0,9.697606396069101,937.3594163368421,0.036245000000000006,0.0315906,Charge+++++,0.0,417.799089
0.0,0.0,9.697606396069101,1083.606621831579,0.034771,0.0287823,Charge+++++,0.0,450.4071074
0.0,0.0,9.697606396069101,1177.6619171736843,0.034771,0.0282051,Charge+++++,0.0,484.7586788
0.0,0.0,9.697606396069101,1247.255005263158,0.034771,0.028138500000000004,Charge+++++,0.0,558.3869276
0.0,0.0,9.697606396069101,1282.8725375473684,0.034771,0.028249500000000004,Charge+++++,0.0,630.7157093
0.0,0.0,9.697606396069101,1224.9124760157897,0.034771,0.028826700000000004,Charge+++++,0.0,661.1646166
0.0,0.0,9.697606396069101,1213.6759977052632,0.034771,0.030935700000000007,Charge+++++,0.0,724.2058374
0.0,0.0,9.697606396069101,1156.6116215000002,0.034771,0.0321012,Charge+++++,0.0,755.7000796
0.0,0.0,9.697606396069101,1186.8488147526316,0.034771,0.0340215,Charge+++++,0.0,808.4136198
0.0,6.982276605169753,1.9395212792138203,1238.3939480789475,0.034771,0.03566430000000001,Discharge-----,0.0,861.0526624
0.0,0.0,1.9395212792138203,1208.391008931579,0.034771,0.0369297,Discharge-----,0.0,839.9550349
0.0,0.0,1.9395212792138203,1191.4878511894738,0.034771,0.0372072,Discharge-----,0.0,827.5643874
0.0,0.0,1.9395212792138203,1207.7069694736842,0.034771,0.0376623,Discharge-----,0.0,828.0502855
0.0,0.0,1.9395212792138203,1267.5597771,0.034771,0.0376623,Discharge-----,0.0,832.9050026
0.0,0.0,1.9395212792138203,1260.146808894737,0.034771,0.0376734,Discharge-----,0.0,762.3678939
0.0,0.0,1.9395212792138203,1172.9892109210527,0.034771,0.0379065,Discharge-----,0.0,709.6935009
0.0,0.0,1.9395212792138203,981.6802859052632,0.034771,0.039183,Discharge-----,0.0,599.0170775
0.0,0.0,1.9395212792138203,862.329727831579,0.034771,0.0402708,Discharge-----,0.0,508.6866947
0.0,0.0,1.9395212792138203,710.6541533210527,0.034771,0.04085910000000001,Discharge-----,0.0,387.0011185
0.0,0.0,1.9395212792138203,621.5588195052632,0.034771,0.0394605,Discharge-----,0.0,320.0400737
0.0,0.0,1.9395212792138203,564.4181629789473,0.034771,0.03829500000000001,Discharge-----,0.0,279.1471826
0.0,0.0,1.9395212792138203,501.1792929421053,0.034771,0.03761790000000001,Discharge-----,0.0,228.4410896
0.0,0.0,1.9395212792138203,509.8170903421053,0.034771,0.0366522,Discharge-----,0.0,223.651809
0.0,0.0,1.9395212792138203,599.3973377736843,0.034771,0.0358863,Discharge-----,0.0,249.7750464
7.758085116855281,0.0,9.697606396069101,796.3086347473684,0.034771,0.0337884,Charge+++++,0.0,313.9262165
0.0,0.0,9.697606396069101,915.699482531579,0.048059000000000004,0.0338661,Charge+++++,0.0,325.3337478
0.0,0.0,9.697606396069101,1039.7365399842106,0.048059000000000004,0.0335553,Charge+++++,0.0,383.1579479
0.0,0.0,9.697606396069101,1088.175056763158,0.048059000000000004,0.0333,Charge+++++,0.0,440.3606072
0.0,0.0,9.697606396069101,1120.9176019736842,0.048059000000000004,0.0333666,Charge+++++,0.0,510.603045
0.0,0.0,9.697606396069101,1109.5779687684212,0.048059000000000004,0.0339771,Charge+++++,0.0,576.2179261
0.0,0.0,9.697606396069101,1079.8852070631578,0.048059000000000004,0.0360195,Charge+++++,0.0,622.496625
0.0,0.0,9.697606396069101,1031.4047312473685,0.048059000000000004,0.0387057,Charge+++++,0.0,657.8786793
0.0,0.0,9.697606396069101,1040.0987690052632,0.048059000000000004,0.04669770000000001,Charge+++++,0.0,693.7432913
0.0,6.982276605169753,1.9395212792138203,1076.5152096736842,0.048059000000000004,0.04815180000000001,Discharge-----,0.0,734.5555909
7.758085116855281,0.0,9.697606396069101,1114.4369228,0.048059000000000004,0.04666440000000001,Charge+++++,0.0,766.6233278
0.0,0.0,9.697606396069101,1124.4443657947368,0.048059000000000004,0.04777440000000001,Charge+++++,0.0,775.280178
0.0,6.982276605169753,1.9395212792138203,1147.947560331579,0.048059000000000004,0.0494394,Discharge-----,0.0,781.4531514
0.0,0.0,1.9395212792138203,1286.8868141105263,0.048059000000000004,0.04946160000000001,Discharge-----,0.0,848.2095731
0.0,0.0,1.9395212792138203,1332.5657704473683,0.048059000000000004,0.0495726,Discharge-----,0.0,819.1822155
0.0,0.0,1.9395212792138203,1287.4356384157895,0.048059000000000004,0.04993890000000001,Discharge-----,0.0,799.3603395
0.0,0.0,1.9395212792138203,1203.0290860105263,0.048059000000000004,0.06227100000000001,Discharge-----,0.0,772.3119736
0.0,0.0,1.9395212792138203,1194.8741843,0.048059000000000004,0.077367,Discharge-----,0.0,768.9875339
0.0,0.0,1.9395212792138203,1111.6479337105266,0.048059000000000004,0.0820512,Discharge-----,0.0,700.8620689
0.0,0.0,1.9395212792138203,1072.7794374157893,0.048059000000000004,0.0799089,Discharge-----,0.0,673.2106812
0.0,0.0,1.9395212792138203,1018.6391433526317,0.048059000000000004,0.05558880000000001,Discharge-----,0.0,634.6677987
0.0,0.0,1.9395212792138203,937.909116568421,0.048059000000000004,0.0498279,Discharge-----,0.0,570.2853072
7.758085116855281,0.0,9.697606396069101,995.6941353526316,0.048059000000000004,0.0466755,Charge+++++,0.0,603.9709769
0.0,0.0,9.697606396069101,1058.0443058105263,0.048059000000000004,0.0413142,Charge+++++,0.0,608.7658655
0.0,0.0,9.697606396069101,1252.9421369052632,0.048059000000000004,0.0384615,Charge+++++,0.0,671.3067575
0.0,6.982276605169753,1.9395212792138203,1337.7721272526314,0.037025999999999996,0.03978240000000001,Discharge-----,0.0,655.6401963
0.0,0.0,1.9395212792138203,1399.6334745894737,0.037025999999999996,0.0394494,Discharge-----,0.0,664.783491
0.0,0.0,1.9395212792138203,1399.1684949526316,0.037025999999999996,0.03839490000000001,Discharge-----,0.0,683.689218
0.0,0.0,1.9395212792138203,1383.6905864368423,0.037025999999999996,0.0380508,Discharge-----,0.0,716.1729933
0.0,0.0,1.9395212792138203,1335.6576170105263,0.037025999999999996,0.037917599999999996,Discharge-----,0.0,753.0590817
7.758085116855281,0.0,9.697606396069101,1291.2573473263158,0.037025999999999996,0.0361749,Charge+++++,0.0,787.8202527
0.0,6.982276605169753,1.9395212792138203,1259.4916332842106,0.037025999999999996,0.03809520000000001,Discharge-----,0.0,836.2793111
0.0,0.0,1.9395212792138203,1236.4848568894738,0.037025999999999996,0.0377067,Discharge-----,0.0,847.3229472
0.0,0.0,1.9395212792138203,1282.7313649210528,0.037025999999999996,0.03774,Discharge-----,0.0,895.8256405
0.0,0.0,1.9395212792138203,1305.5509373526315,0.037025999999999996,0.0377955,Discharge-----,0.0,916.0710227
0.0,0.0,1.9395212792138203,1312.3367095894737,0.037025999999999996,0.0383505,Discharge-----,0.0,922.2079987
0.0,0.0,1.9395212792138203,1311.2216304368421,0.037025999999999996,0.0383838,Discharge-----,0.0,909.111444
0.0,0.0,1.9395212792138203,1460.534322631579,0.037025999999999996,0.037917599999999996,Discharge-----,0.0,983.9816754
0.0,0.0,1.9395212792138203,1465.5798033473684,0.037025999999999996,0.0376512,Discharge-----,0.0,923.1579181
0.0,0.0,1.9395212792138203,1451.1702478789475,0.037025999999999996,0.0376068,Discharge-----,0.0,927.3771195
0.0,0.0,1.9395212792138203,1431.9871180368423,0.037025999999999996,0.0381618,Discharge-----,0.0,951.3746374
0.0,0.0,1.9395212792138203,1445.4191343947368,0.037025999999999996,0.0383616,Discharge-----,0.0,964.9245702
0.0,0.0,1.9395212792138203,1332.2268185473686,0.037025999999999996,0.0380841,Discharge-----,0.0,873.3549775
0.0,0.0,1.9395212792138203,1210.8036586210526,0.037025999999999996,0.037917599999999996,Discharge-----,0.0,781.1126883
7.758085116855281,0.0,9.697606396069101,1188.943753373684,0.037025999999999996,0.0367521,Charge+++++,0.0,767.8399961
0.0,0.0,9.697606396069101,1140.4679523947368,0.037025999999999996,0.03566430000000001,Charge+++++,0.0,728.7011821
0.0,0.0,9.697606396069101,1193.5679356105263,0.037025999999999996,0.0350316,Charge+++++,0.0,758.7102973
0.0,0.0,9.697606396069101,1245.5455547105264,0.037025999999999996,0.0334998,Charge+++++,0.0,755.3804447
0.0,0.0,9.697606396069101,1548.4391925736843,0.037025999999999996,0.0322011,Charge+++++,0.0,902.4017942
0.0,0.0,9.697606396069101,1512.9710951,0.034210000000000004,0.0325785,Charge+++++,0.0,792.6016611
0.0,0.0,9.697606396069101,1578.161495994737,0.034210000000000004,0.0320568,Charge+++++,0.0,804.3576317
0.0,0.0,9.697606396069101,1582.0905780736844,0.034210000000000004,0.0313908,Charge+++++,0.0,826.7001322
0.0,0.0,9.697606396069101,1584.0936879526316,0.034210000000000004,0.030902400000000003,Charge+++++,0.0,872.8580174
0.0,0.0,9.697606396069101,1502.1882899894738,0.034210000000000004,0.0311244,Charge+++++,0.0,883.2227841
0.0,0.0,9.697606396069101,1453.9740135473685,0.034210000000000004,0.0317904,Charge+++++,0.0,914.9917181
0.0,0.0,9.697606396069101,1382.4268795842106,0.034210000000000004,0.032301,Charge+++++,0.0,932.3154704
0.0,0.0,9.697606396069101,1343.8948665842106,0.034210000000000004,0.0327339,Charge+++++,0.0,931.2065962
0.0,0.0,9.697606396069101,1346.3486510789473,0.034210000000000004,0.0332667,Charge+++++,0.0,945.4397716
0.0,0.0,9.697606396069101,1365.5187544210526,0.034210000000000004,0.0340992,Charge+++++,0.0,962.8447072
0.0,6.982276605169753,1.9395212792138203,1402.7569745052633,0.034210000000000004,0.0349317,Discharge-----,0.0,992.8191468
0.0,0.0,1.9395212792138203,1416.8362407947368,0.034210000000000004,0.035409,Discharge-----,0.0,991.612164
0.0,0.0,1.9395212792138203,1454.8724017210527,0.034210000000000004,0.0349872,Discharge-----,0.0,979.3856189
0.0,0.0,1.9395212792138203,1584.127828663158,0.034210000000000004,0.0347652,Discharge-----,0.0,1015.793015
0.0,0.0,1.9395212792138203,1570.632689731579,0.034210000000000004,0.03535350000000001,Discharge-----,0.0,1020.716131
0.0,0.0,1.9395212792138203,1481.5284648052632,0.034210000000000004,0.0364413,Discharge-----,0.0,989.9792776
0.0,0.0,1.9395212792138203,1483.1809199263157,0.034210000000000004,0.0384282,Discharge-----,0.0,994.3369907
0.0,0.0,1.9395212792138203,1354.2399220052632,0.034210000000000004,0.03904980000000001,Discharge-----,0.0,890.4790459
0.0,0.0,1.9395212792138203,1347.7218132105263,0.034210000000000004,0.0380508,Discharge-----,0.0,888.1564081
0.0,0.0,1.9395212792138203,1270.291515431579,0.034210000000000004,0.03701850000000001,Discharge-----,0.0,831.4074745
0.0,0.0,1.9395212792138203,1189.6995893263158,0.034210000000000004,0.03626370000000001,Discharge-----,0.0,767.1608022
0.0,0.0,1.9395212792138203,1188.8533510263157,0.034210000000000004,0.036130499999999996,Discharge-----,0.0,754.9566766
0.0,0.0,1.9395212792138203,1228.7554439526316,0.034210000000000004,0.0353424,Discharge-----,0.0,742.1922662
7.758085116855281,0.0,9.697606396069101,1401.7932935526317,0.034210000000000004,0.033966,Charge+++++,0.0,787.6246463
0.0,6.982276605169753,1.9395212792138203,1495.398914921053,0.034001,0.0341325,Discharge-----,0.0,778.824144
0.0,0.0,1.9395212792138203,1578.8878243263157,0.034001,0.0340104,Discharge-----,0.0,804.8728268
7.758085116855281,0.0,9.697606396069101,1612.5909927105263,0.034001,0.0338883,Charge+++++,0.0,850.4993619
0.0,0.0,9.697606396069101,1607.5716474105263,0.034001,0.0338994,Charge+++++,0.0,891.1501469
0.0,0.0,9.697606396069101,1655.8645791473687,0.034001,0.0339993,Charge+++++,0.0,1003.367351
0.0,6.982276605169753,1.9395212792138203,1612.5666026052631,0.034001,0.034077,Discharge-----,0.0,1038.962429
0.0,0.0,1.9395212792138203,1521.9902767263159,0.034001,0.0341547,Discharge-----,0.0,1041.382581
7.758085116855281,0.0,9.697606396069101,1706.4596719157896,0.034001,0.0339438,Charge+++++,0.0,1214.718076
0.0,6.982276605169753,1.9395212792138203,1587.3493093210527,0.034001,0.0341325,Discharge-----,0.0,1133.806407
0.0,0.0,1.9395212792138203,1568.7991097052634,0.034001,0.0345099,Discharge-----,0.0,1121.703173
0.0,0.0,1.9395212792138203,1562.8251983263158,0.034001,0.0354423,Discharge-----,0.0,1117.864782
0.0,0.0,1.9395212792138203,1601.4340631052632,0.034001,0.034398899999999996,Discharge-----,0.0,1135.868566
0.0,0.0,1.9395212792138203,1647.1703530105262,0.034001,0.0343656,Discharge-----,0.0,1129.671224
0.0,0.0,1.9395212792138203,1815.7550876526316,0.034001,0.0342657,Discharge-----,0.0,1196.831965
0.0,0.0,1.9395212792138203,1663.8678995157898,0.034001,0.0342435,Discharge-----,0.0,1093.469481
0.0,0.0,1.9395212792138203,1460.2956099578948,0.034001,0.0343656,Discharge-----,0.0,973.2397504
0.0,0.0,1.9395212792138203,1385.066134063158,0.034001,0.03507600000000001,Discharge-----,0.0,917.4627007
0.0,0.0,1.9395212792138203,1238.9127336894737,0.034001,0.0353424,Discharge-----,0.0,800.1547423
0.0,0.0,1.9395212792138203,1138.6184516210528,0.034001,0.0349206,Discharge-----,0.0,724.4723659
0.0,0.0,1.9395212792138203,1085.476769726316,0.034001,0.0345765,Discharge-----,0.0,686.7369581
0.0,0.0,1.9395212792138203,1139.3899755894736,0.034001,0.0342213,Discharge-----,0.0,727.7269779
0.0,0.0,1.9395212792138203,1056.9833462210527,0.034001,0.0343545,Discharge-----,0.0,651.6940306
7.758085116855281,0.0,9.697606396069101,1130.8670640578948,0.034001,0.0339105,Charge+++++,0.0,665.5381381
0.0,0.0,9.697606396069101,1312.0579338736843,0.034001,0.0331779,Charge+++++,0.0,717.3453301
0.0,0.0,9.697606396069101,1415.548858163158,0.03454,0.0328116,Charge+++++,0.0,716.2879818
0.0,0.0,9.697606396069101,1504.8512662315788,0.03454,0.0323121,Charge+++++,0.0,746.8886041
0.0,0.0,9.697606396069101,1524.0353954210527,0.03454,0.0321789,Charge+++++,0.0,781.1646134
0.0,0.0,9.697606396069101,1493.2465375894737,0.03454,0.0323676,Charge+++++,0.0,801.6589989
0.0,0.0,9.697606396069101,1456.8923950789474,0.03454,0.0329781,Charge+++++,0.0,847.6691498
0.0,0.0,9.697606396069101,1397.989459063158,0.03454,0.0337551,Charge+++++,0.0,871.0704387
0.0,0.0,9.697606396069101,1334.8966614526316,0.03454,0.0341547,Charge+++++,0.0,893.8052932
0.0,6.982276605169753,1.9395212792138203,1338.667872794737,0.03454,0.0362748,Discharge-----,0.0,926.2876389
0.0,0.0,1.9395212792138203,1336.3161718526317,0.03454,0.03721830000000001,Discharge-----,0.0,936.9992814
0.0,0.0,1.9395212792138203,1341.5702198,0.03454,0.0369741,Discharge-----,0.0,943.7282064
0.0,0.0,1.9395212792138203,1383.994237,0.03454,0.03714060000000001,Discharge-----,0.0,977.5222505
0.0,0.0,1.9395212792138203,1397.3184326736841,0.03454,0.03654120000000001,Discharge-----,0.0,975.4681486
0.0,0.0,1.9395212792138203,1437.9244088210526,0.03454,0.03646350000000001,Discharge-----,0.0,964.0646782
0.0,0.0,1.9395212792138203,1602.0306396526316,0.03454,0.036330299999999996,Discharge-----,0.0,1025.818019
0.0,0.0,1.9395212792138203,1505.0112987000002,0.03454,0.03586410000000001,Discharge-----,0.0,963.3565972
0.0,0.0,1.9395212792138203,1313.9264714473684,0.03454,0.03638580000000001,Discharge-----,0.0,850.56044
0.0,0.0,1.9395212792138203,1241.270969294737,0.03454,0.03686310000000001,Discharge-----,0.0,795.7197472
0.0,0.0,1.9395212792138203,1113.691333536842,0.03454,0.0365745,Discharge-----,0.0,692.6450881
0.0,0.0,1.9395212792138203,1013.1566644578947,0.03454,0.0364746,Discharge-----,0.0,617.6191159
0.0,0.0,1.9395212792138203,897.5432694157894,0.03454,0.0348651,Discharge-----,0.0,531.7677823
7.758085116855281,0.0,9.697606396069101,828.5516433,0.03454,0.033855,Charge+++++,0.0,477.4073361
0.0,0.0,9.697606396069101,774.7264079157895,0.03454,0.0333777,Charge+++++,0.0,424.1184905
0.0,0.0,9.697606396069101,828.0930981894737,0.03454,0.0328227,Charge+++++,0.0,422.1023506
0.0,0.0,9.697606396069101,1050.7901338210527,0.03454,0.0320013,Charge+++++,0.0,506.5050252
0.0,0.0,9.697606396069101,1142.4003524789473,0.032527,0.0290376,Charge+++++,0.0,496.3494446
0.0,0.0,9.697606396069101,1242.2805234105263,0.032527,0.0283827,Charge+++++,0.0,535.2545311
0.0,0.0,9.697606396069101,1280.8977865210527,0.032527,0.0282939,Charge+++++,0.0,584.6333045
0.0,0.0,9.697606396069101,1286.3072417210526,0.032527,0.0283827,Charge+++++,0.0,633.3215094
0.0,0.0,9.697606396069101,1299.2796115,0.032527,0.030824700000000003,Charge+++++,0.0,719.2685429
0.0,0.0,9.697606396069101,1277.531717131579,0.032527,0.0321123,Charge+++++,0.0,774.0700117
0.0,6.982276605169753,1.9395212792138203,1171.679066294737,0.032527,0.0330669,Discharge-----,0.0,766.1797176
0.0,0.0,1.9395212792138203,1187.2851343000002,0.032527,0.03441,Discharge-----,0.0,807.9294095
0.0,0.0,1.9395212792138203,1231.9511634789474,0.032527,0.0347541,Discharge-----,0.0,855.4298879
0.0,0.0,1.9395212792138203,1279.440320468421,0.032527,0.0346542,Discharge-----,0.0,895.204558
0.0,0.0,1.9395212792138203,1274.1600012894737,0.032527,0.0345654,Discharge-----,0.0,891.6578873
0.0,0.0,1.9395212792138203,1258.9825215578949,0.032527,0.0344766,Discharge-----,0.0,867.3011768
0.0,0.0,1.9395212792138203,1268.7559676684211,0.032527,0.034398899999999996,Discharge-----,0.0,831.7816308
0.0,0.0,1.9395212792138203,1409.9228604210525,0.032527,0.03441,Discharge-----,0.0,875.6079457
