ESS_power,ESS_capacity,fitness_function,Time,std_ESS_power,std_ESS_capacity,std_fitness_function,Charge_cost,Fixed_OnM,Variable_OnM,Combined_cost_charge,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
264.5198922227202,2142.114159573964,0.3831310389913186,19.15868091583252,40.362361706834086,331.50146644243245,0.003076072480401277,254563.7140072922,11083.383484131975,3341.52053282004,268988.6180242442,-1367728.7212068466,817037.1630253625,664231.0348069591
283.9261295912368,2095.753996551251,0.3858087051382712,21.23043942451477,40.362361706834086,331.50146644243245,0.003076072480401277,304081.1125135806,11896.504829872827,3968.3063843905516,319945.92372784397,-1381107.1070932483,997723.0107269235,809196.3229584701
166.0724326653982,1291.6078482729026,0.37673979091776966,20.18896746635437,40.362361706834086,331.50146644243245,0.003076072480401277,152701.0654776408,12508.135445601227,2001.1262067377816,167210.3271299798,-835934.023989858,470305.9074111689,384371.73167552333
236.62465080226016,1795.3896905184142,0.37997355828939344,21.043617963790894,40.362361706834086,331.50146644243245,0.003076072480401277,221733.18081772156,55791.10581628114,2877.000966856608,280401.28760085936,-1171863.4464574489,670288.0183176331,553886.0851334186
255.34577074135314,2076.5429165402456,0.38199818088406023,18.988998889923096,40.362361706834086,331.50146644243245,0.003076072480401277,303968.23571273923,11703.246031965175,3961.8900106626647,319633.3717553671,-1324019.8907886746,997136.7899914936,808455.5075988941
151.85703950557453,1177.7310800200644,0.37664842272984367,18.728334426879883,40.362361706834086,331.50146644243245,0.003076072480401277,149235.63958406713,20504.403523983023,1950.9542886984143,171690.99739674857,-762962.1767658072,441109.4785722943,373215.3800882015
230.5995519087421,2086.3877316955873,0.38267072692052484,20.35346531867981,40.362361706834086,331.50146644243245,0.003076072480401277,238332.41413224075,27884.577388783913,3129.9702677613545,269346.961788786,-1285905.6953051721,732165.9451535696,603785.8036273225
201.89300498376898,1629.294593232608,0.37752515180803814,22.110675811767578,40.362361706834086,331.50146644243245,0.003076072480401277,192100.12477359336,18406.30665481083,2511.313771959802,213017.74520036398,-1041491.2897574673,580064.1268963445,482600.5671008602
215.22336147451642,1722.1749307850373,0.3780313523827585,23.003069400787354,40.362361706834086,331.50146644243245,0.003076072480401277,28380.4581414421,29647.57849120124,397.2330120063293,58425.26964464966,-1103977.5624674722,83370.66982450959,75033.60284205862
193.88001217983745,1524.1768549493527,0.37715408272346646,21.397539377212524,40.362361706834086,331.50146644243245,0.003076072480401277,214042.17812045667,8123.57251033519,2787.6832586604532,224953.43388945234,-982869.6087183659,700551.623441931,567969.9053433175
