ESS_power,ESS_capacity,fitness_function,Time,std_ESS_power,std_ESS_capacity,std_fitness_function,profit_kWh,profit_peak_kW,cost_charge,cost_O_n_M_fixed,cost_O_n_m_variable,Cashflow_total,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
198.8106337425431,1913.321457706787,-1121558.994253941,169.5443468093872,119.22644234823322,534.9156553440756,197151.34220944226,195830.371764226,60177.339763384356,-191468.4317560055,-8330.165553812556,-2470.6410516887063,53738.47316610356,-1157587.3379191845,595361.9318777379,483852.25019151793
222.16787433608653,642.2012793107623,-619271.735011345,157.55840182304382,119.22644234823322,534.9156553440756,197151.34220944226,84873.52000464028,64901.347485092,-87218.50493245824,-9308.833934682027,-1088.502582595623,52159.02603999638,-654370.5273518569,254885.32924618974,208181.98600121785
185.1369904936402,1766.2669452990108,-1038888.4145174386,137.58198046684265,119.22644234823322,534.9156553440756,197151.34220944226,181878.26361205534,54267.51752952442,-177659.710376069,-7757.239901683525,-2292.806805348589,48436.02405847863,-1071364.809537944,552352.4011989975,448618.24593983736
214.69891086281294,1266.6350693186102,-872764.2553235121,169.9385232925415,119.22644234823322,534.9156553440756,197151.34220944226,149689.38656527715,61546.5980399648,-147275.75832493394,-8995.884365151862,-1889.3740034720734,53074.967911684056,-908423.9088281181,444267.9262143671,363227.9096135949
37.72919268872543,1445.9343952225656,-671149.4612339188,155.5492823123932,119.22644234823322,534.9156553440756,197151.34220944226,44838.06978034146,18246.44838693512,-44185.30061412654,-1580.853173657596,-566.6975183004917,16751.666861191952,-682386.6917588128,143408.66140984543,116165.21126521591
456.92243002311454,350.9310493142716,-900017.941198823,158.01296639442444,119.22644234823322,534.9156553440756,197151.34220944226,49537.97605900991,65156.833808243384,-49500.81477432651,-19145.049817968502,-657.9536112946877,45390.9916636636,-931385.0865080119,138269.13257096923,124442.21931387232
321.2037118002149,1444.1454630308772,-1103883.4849861367,169.18140172958374,119.22644234823322,534.9156553440756,197151.34220944226,177566.33310612137,107858.11070752557,-176689.6372239153,-13458.435524429005,-2250.8506634736154,93025.52040182898,-1166420.3857284514,528212.4916910165,432577.99977606424
164.74491369746121,563.3415668879777,-502336.5180135988,172.54498958587646,119.22644234823322,534.9156553440756,197151.34220944226,73168.57192228358,38408.90613944299,-73746.02518006241,-6902.811883923624,-933.6937812519186,29994.94721648863,-522468.2363522999,215693.81789283437,178348.46316788203
377.060938235211,790.5059619720819,-914835.5237921984,153.71443843841553,119.22644234823322,534.9156553440756,197151.34220944226,107619.04829257322,119844.88525327442,-109330.41566011848,-15798.853312055342,-1383.626702318317,100951.03787135554,-982640.7191801481,314182.4498095954,263624.5916038166
381.53935385656087,512.7729684742092,-807960.101255567,236.99594974517822,119.22644234823322,534.9156553440756,197151.34220944226,72108.40044401225,116487.99140724838,-77845.23625800066,-15986.498926589902,-945.706085276935,93818.95058139312,-871621.6201242048,221523.0662820179,180209.85330313965
